id,x_coord,y_coord,home_compute_node_id,home_x_coord,home_y_coord,assigned_compute_node_id,assigned_x_coord,assigned_y_coord
******爱地,114.072959,22.525981,******皇城广场,114.07276,22.52396,******皇城广场,114.07276,22.52396
******爱地大厦,114.06641,22.52918,******特**证券,114.0623146,22.535577,********祠堂坊,114.07338,22.53888
******特**报业大厦附楼,114.04206,22.54216,********莲花瑞达苑A,114.03751,22.548692,********莲花瑞达苑A,114.03751,22.548692
******莲花街道北大医院科研楼,114.0466398,22.55825839,******绿景虹湾D座,114.03171,22.56658,******好景豪园,114.02701,22.52411
******笔架山公园环山西路展览馆旁,114.07591,22.56365,******华海公寓,114.064815,22.575162,******华海公寓,114.064815,22.575162
******网球中心办公楼,114.08457,22.56104,******华富,114.076652,22.560137,******振中路二,114.07683,22.54824
******笔架山公园双砚湖感恩亭北侧草地,114.07294,22.56032,******华富,114.076652,22.560137,******海馨苑,114.07804,22.55905
******笔架山公交站场西侧山坡处30m通信杆,114.07561,22.55657,******华富,114.076652,22.560137,******华富,114.076652,22.560137
******滨河大道与新洲路交汇处桥底,114.04692,22.52971,******滨河彩田立交自建机房,114.05942,22.53544,******海天,114.06057,22.536264
******布尾村,114.04036,22.55742,********莲花梅富村A,114.032133,22.564577,********莲花梅富村A,114.032133,22.564577
******彩田J,114.06539,22.53484,******彩田J,114.06039,22.53984,******中洲大厦,114.05569,22.54291
******长城开发A栋,114.06687,22.56453,******林园路J,114.06485,22.57455,******华海公寓,114.064815,22.575162
******莲花山公园东园道附近树林内,114.06409,22.55081,******莲花大厦,114.061827,22.554597,******市民东,114.05312,22.54956
******彩田莲花,114.063927,22.554718,******园心苑J,114.065724,22.55496,******园心苑J,114.065724,22.55496
******彩田新村,114.05662,22.56422,******滨河新洲立交自建机房,114.03819,22.56762,******围面,114.035611,22.569388
******笔架山五,114.07686,22.56232,******依山居,114.08141,22.56803,******华富,114.076652,22.560137
******晨晖花园,114.05727,22.52051,******福保新桂花村A,114.05856,22.52112,******福保新桂花村A,114.05856,22.52112
******赤尾,114.08215,22.53139,******滨河皇岗立交桥自建机房,114.06976,22.53517,******滨河皇岗立交桥自建机房,114.06976,22.53517
******御景华城6栋,114.083548,22.532713,******滨河皇岗立交桥自建机房,114.06976,22.53517,********村祠堂坊26号私宅,114.07072,22.54028
********市税务局办公**,114.07456,22.53371,******滨河皇岗立交桥自建机房,114.06976,22.53517,******皇岗检测,114.06328,22.53058
******金田路与福中一路交界地铁大厦,114.06055,22.54786,******莲花大厦,114.061827,22.554597,******莲花地震局自建机房,114.04171,22.55442
******香蜜湖1号公交站东边旁绿化带,114.03772,22.53878,********莲花瑞达苑A,114.03751,22.548692,********莲花瑞达苑A,114.03751,22.548692
************新洲都市花园雅庭轩1号,114.045186,22.530917,******城中雅苑J,114.04021,22.53634,******城中雅苑J,114.04021,22.53634
******儿院,114.05234,22.54697,******国际商会,114.0431001,22.54273,******卓越大厦,114.042943,22.543615
******福华,114.06721,22.53378,******特**证券,114.0623146,22.535577,******皇岗南,114.06552,22.53522
******碧馨苑,114.051342,22.524752,******新洲中心村J,114.04081,22.52981,******湖北大厦,114.03951,22.53331
******福南小学,114.07722,22.53183,******环庆花园J,114.07061,22.54038,******BF大厦J,114.07557,22.54155
******福强瑞昌,114.06437,22.52898,******滨河皇岗立交桥自建机房,114.06976,22.53517,******福运,114.06966,22.53411
******北环中学教学楼,114.04857,22.56182,******绿景虹湾D座,114.03171,22.56658,******围面村109号,114.03559,22.56702
******鸿图大厦,114.0778768,22.5362622,******环庆花园J,114.07061,22.54038,******卓越大厦,114.042943,22.543615
******旧圩村28号,114.0869296,22.53801307,******环庆花园J,114.07061,22.54038,******财贸,114.07706,22.542273
******创新科技大厦F栋,114.06864,22.54287,********科技广场J,114.06256,22.54801,******人才大厦,114.06282,22.55009
********祠堂坊,114.07838,22.53388,******滨河皇岗立交桥自建机房,114.06976,22.53517,******滨河皇岗立交桥自建机房,114.06976,22.53517
********妇幼,114.06322,22.52491,******皇庭居,114.05982,22.52945,******皇庭居,114.05982,22.52945
******福民路123号西北侧楼梯间上,114.05077,22.52309,******新港商城,114.048916,22.530264,******阳光华苑,114.04789,22.53093
********市**人民医院新大楼,114.076351,22.539954,********医院,114.07091,22.54502,********医院,114.07091,22.54502
******滨河大道3179号怡兴苑,114.078987,22.529664,******滨河皇岗立交桥自建机房,114.06976,22.53517,******皇岗检测,114.06328,22.53058
******福新,114.07077,22.53629,******彩田J,114.06039,22.53984,******彩田J,114.06039,22.53984
******福星,114.08039,22.53849,******福星,114.07539,22.54349,******福星,114.07539,22.54349
******BF大厦J,114.08057,22.53655,******BF大厦J,114.07557,22.54155,******福南小学,114.07222,22.53683
******福运,114.07466,22.52911,******滨河皇岗立交桥自建机房,114.06976,22.53517,******滨河皇岗立交桥自建机房,114.06976,22.53517
******岗边村,114.083353,22.535022,******BF大厦J,114.07557,22.54155,******皇岗边检生活**15栋,114.07283,22.53277
******岗厦村东二坊55号私宅,114.06821,22.53837,******环庆花园J,114.07061,22.54038,******香蜜公园自建机房,114.01267,22.55694
******华富街道笔架山公园西门停车场草坪,114.07375,22.55642,******笔架山公园自建机房,114.06894,22.57223,******笔架山公园自建机房,114.06894,22.57223
******购物公园,114.05033,22.53466,******免税大厦,114.047833,22.54301,******投资,114.04484,22.54446
******购物公园街道,114.05033,22.53716,******购物公园街道,114.04533,22.54216,******城中雅苑,114.0440386,22.5372559
******国通附楼,114.03967,22.52784,******新洲中学,114.03478,22.53284,******新洲中学,114.03478,22.53284
******海天,114.06557,22.531264,******特**证券,114.0623146,22.535577,******爱地大厦,114.06141,22.53418
******红荔,114.081722,22.548555,******华强茂业J,114.0781001,22.5515901,******华强茂业J,114.0781001,22.5515901
******红益福,114.05221,22.54871,******江胜大厦J,114.047314,22.550146,******彩田J,114.06039,22.53984
******湖北大厦,114.04451,22.52831,******新洲中心村J,114.04081,22.52981,******维也纳酒店,114.04021,22.53081
******花卉世界,114.07009,22.55326,******园心苑J,114.065724,22.55496,******石化,114.073523,22.551707
******华富,114.081652,22.555137,******长泰花园A栋,114.07916,22.55775,******红荔,114.076722,22.553555
******皇岗海关缉私分局,114.072277,22.520222,******爱地,114.067959,22.530981,******福运,114.06966,22.53411
******皇岗村,114.06042,22.52628,******银庄大厦银月阁,114.05647,22.52741,******福保新桂花村A,114.05856,22.52112
******吉龙一村69号楼顺景楼,114.05597,22.52827,******彩田J,114.06039,22.53984,******中深大厦,114.060611,22.536888
******皇岗南,114.07052,22.53022,******莲花大厦,114.061827,22.554597,******莲花山公园自建机房,114.05575,22.56402
******皇岗深南立交绿化带电信美化树,114.07059,22.539617,******滨河金田立交桥自建机房,114.05491,22.53541,******卓越世纪一,114.05657,22.53686
******皇岗新村,114.05633,22.52318,******益田中心广场,114.04108,22.520094,********花园,114.03973,22.52282
******皇岗中,114.071001,22.54154,******城市大厦J,114.06857,22.54706,********医院,114.07091,22.54502
******福新社**健康服务中心,114.04905,22.54371,******莲花地震局自建机房,114.04171,22.55442,******盛庭,114.080376,22.555712
******福华三路111号会展中心东北角,114.05957,22.53312,******滨河彩田立交自建机房,114.05942,22.53544,******滨河彩田立交自建机房,114.05942,22.53544
******会展中心西北角绿化带通信杆,114.05409,22.53307,******滨河彩田立交自建机房,114.05942,22.53544,******滨河彩田立交自建机房,114.05942,22.53544
******JG综合楼宿舍楼,114.082277,22.560222,******华富,114.076652,22.560137,******华富,114.076652,22.560137
******皇岗检测,114.06828,22.52558,******皇城广场,114.07276,22.52396,******石厦北五街**机场石厦北住宅楼,114.04646,22.53292
******嘉麟豪庭裙楼,114.06391,22.53961,******彩田J,114.06039,22.53984,******新岗厦,114.05621,22.54301
******经贸中心,114.06061,22.54472,******金田立交自建机房,114.05445,22.54691,******金地中心塔二,114.057001,22.544666
******景莲小学,114.04523,22.55947,********莲花梅富村A,114.032133,22.564577,******梅富村,114.03221,22.56411
******景田东,114.036849,22.559427,******莲花地震局自建机房,114.04171,22.55442,******深纺大厦,114.0771545,22.55016708
******景田酒店J,114.04257,22.55472,********莲花梅富村A,114.032133,22.564577,********莲花梅富村A,114.032133,22.564577
******景新,114.05242,22.55972,******莲花大厦,114.061827,22.554597,******万佳三店,114.06062,22.54987
******1号九方购物中心东座,114.08009,22.54311,******城市大厦J,114.06857,22.54706,******城市大厦J,114.06857,22.54706
******彩田学校中学部北面北环冬瓜岭天桥下绿化带,114.06011,22.56404,******北环彩田立交自建机房,114.05746,22.57116,******怡色家园,114.05871,22.56706
******丽中小学教学楼A座,114.06434,22.52625,******银庄大厦银月阁,114.05647,22.52741,**********水围村117号私宅,114.05492,22.52534
******荔园外国语小学楼,114.0405292,22.54349493,******世纪豪庭,114.01273,22.54024,******新新家园J,114.04504,22.52431
******华富街道莲花二村47栋,114.06767,22.55168,******园心苑J,114.065724,22.55496,******园心苑J,114.065724,22.55496
******莲花北中心广场北新建的35米美化树,114.04784,22.55983,********莲花梅富村A,114.032133,22.564577,******绿景虹湾D座,114.03171,22.56658
******莲花大厦,114.066827,22.549597,******园心苑J,114.065724,22.55496,******笔架山公园自建机房,114.06894,22.57223
******莲花山公园管理处停车场东南角,114.060082,22.549844,********莲花梅富村A,114.032133,22.564577,********莲花梅富村A,114.032133,22.564577
******景田路6号莲花街道办事处,114.04201,22.54561,********莲花瑞达苑A,114.03751,22.548692,********莲花瑞达苑A,114.03751,22.548692
******莲花山北,114.057568,22.559894,******笔架山公园自建机房,114.06894,22.57223,******公交大厦,114.05752,22.56507
******莲花莲花山公园山顶,114.05685,22.55503,******笔架山公园自建机房,114.06894,22.57223,******笔架山公园自建机房,114.06894,22.57223
******莲花西北,114.04969,22.55759,******第一世界,114.04026,22.55405,******莲花地震局自建机房,114.04171,22.55442
******莲花正门,114.05091,22.552228,******第一世界,114.04026,22.55405,******布尾村,114.03536,22.56242
******莲一村,114.07038,22.54838,******城市大厦J,114.06857,22.54706,******深南皇岗立交桥自建机房,114.06608,22.54646
******龙秋,114.041933,22.522508,********福保益田名园A,114.04272,22.52348,******石厦股份,114.04414,22.52669
******金地名轩,114.0366563,22.52227264,******沙嘴三坊J,114.02876,22.52209,******香蜜公园自建机房,114.01267,22.55694
******梅富村,114.03721,22.55911,******布尾村二,114.03406,22.56355,******迷你新居,114.03806,22.56824
******梅林,114.049777,22.564666,******绿景虹湾D座,114.03171,22.56658,******梅富村,114.03221,22.56411
******迷你新居,114.04306,22.56324,********梅林碧华庭居A,114.042652,22.56855,******怡景中心,114.05201,22.54188
******康美药业股份有限公司办公楼,114.04229,22.56344,********梅林碧华庭居A,114.042652,22.56855,******会展中心一,114.04868,22.53467
******瑞和园瑞馨阁,114.05296,22.52433,******新洲中心村J,114.04081,22.52981,******沙嘴三坊J,114.02876,22.52209
******润鹏花园,114.06121,22.55996,******莲花山公园自建机房,114.05575,22.56402,******北环彩田立交自建机房,114.05746,22.57116
******三洋,114.082737,22.541568,******华强茂业J,114.0781001,22.5515901,******华强茂业J,114.0781001,22.5515901
******上围村,114.05691,22.52589,******银庄大厦银月阁,114.05647,22.52741,******艺校,114.08429,22.55802
******三龙花园一栋,114.05797,22.52801,******银庄大厦银月阁,114.05647,22.52741,**********水围村117号私宅,114.05492,22.52534
******深南大道与金田路交汇东南角绿化带自建机房,114.06011,22.54013,******滨河金田立交桥自建机房,114.05491,22.53541,******会展中心八,114.054501,22.53577
******石化,114.078523,22.546707,******长泰花园A栋,114.07916,22.55775,******长泰花园A栋,114.07916,22.55775
******石厦北宿舍,114.04745,22.52667,******滨河新洲立交自建机房,114.03819,22.56762,********科技广场J,114.06256,22.54801
**********妇幼保健院,114.04519,22.51959,******新新家园J,114.04504,22.52431,******新天世纪商务中心,114.045309,22.527388
******石厦村大楼,114.04933,22.52171,******新港商城,114.048916,22.530264,******星河中心A栋,114.05382,22.53961
******石厦文化,114.060093,22.523315,******银庄大厦银月阁,114.05647,22.52741,******新光大厦,114.037555,22.536611
******市民西,114.05366,22.54466,******金田立交自建机房,114.05445,22.54691,******国际商会,114.0431001,22.54273
******香蜜新村东**1栋,114.03998,22.54752,******第一世界,114.04026,22.55405,******第一世界,114.04026,22.55405
******福保街道办水围村121栋,114.05981,22.52041,******骏皇名居J,114.055363,22.521811,******皇岗边检生活**15栋,114.07283,22.53277
******嘉意台小**嘉景阁楼梯间顶,114.06198,22.52068,********福保益田名园A,114.04272,22.52348,********福保益田名园A,114.04272,22.52348
******笋西,114.07914,22.55991,******银华大厦,114.07745,22.56291,******长泰花园A栋,114.07916,22.55775
******特**报社,114.044957,22.54144,******江胜大厦J,114.047314,22.550146,******怡色家园,114.05871,22.56706
******天健,114.04508,22.5531001,******第一世界,114.04026,22.55405,******财政局,114.03825,22.55323
