req_id,time,position,base_station,compute_demand,max_latency,process_time,type
REQ_1_i,0.37539438069863357,"(47.131084180532284, 41.87730214414378)",BS_95,15.449697970388527,40,19.85602669073381,infotainment
REQ_2_a,0.9586607678578807,"(48.55617464345392, 40.68233871176366)",BS_95,20.0,20,8.992410636956134,adas
REQ_3_i,1.0544798711587322,"(42.61949147062502, 35.64120912742386)",BS_95,17.1144003029604,30,24.978167999613593,infotainment
REQ_4_i,1.1323692568866404,"(44.03840542630554, 66.54315688210397)",BS_7,15.224393109747677,35,19.536696124518144,infotainment
REQ_5_s,1.3156890888050892,"(47.3649668329352, 68.8679199503595)",BS_51,15.720733531357228,15,1.990226547887167,safety-critical
REQ_6_i,1.4071503446633498,"(48.71228277017378, 65.61446865874619)",BS_76,17.203127854444716,30,21.159543456614056,infotainment
REQ_7_i,1.5390181192149985,"(52.21522960946435, 60.63284645858729)",BS_55,13.014128557963861,35,19.644613466323786,infotainment
REQ_8_s,1.6001215421623467,"(59.432901457794074, 66.05229865578858)",BS_59,14.232191750132495,20,2.0243575968229477,safety-critical
REQ_9_i,1.6396993230471095,"(71.85637297865992, 63.96896311162659)",BS_75,10.758885793324607,35,19.435141950945276,infotainment
REQ_10_i,1.694824800703392,"(96.30303681376185, 29.28225449552859)",BS_62,11.570352048151069,30,18.84607102713141,infotainment
REQ_11_i,2.0763454660887795,"(18.82217539850294, 40.045436154112245)",BS_6,20.0,40,20.828630368931847,infotainment
REQ_12_s,2.4818957296780897,"(14.465183369120233, 64.99895783895877)",BS_34,20.0,15,2.0084128691921848,safety-critical
REQ_13_i,2.5366888762912243,"(98.27307336949889, 41.41621484194867)",BS_87,5.727691504624211,30,15.612748579410914,infotainment
REQ_14_i,2.7360981195221545,"(93.15173120362591, 43.293213179509905)",BS_87,9.449914967286118,30,16.94107987454539,infotainment
REQ_15_i,3.162016566045031,"(36.66029888319018, 45.32321335439521)",BS_8,11.433106910855479,30,19.17817726962618,infotainment
REQ_16_s,4.515898733363321,"(28.59330843351264, 52.613748468114466)",BS_97,20.0,20,2.0392388765310203,safety-critical
REQ_17_a,4.748914412896066,"(48.46393613429417, 18.562663458526217)",BS_80,18.252253898617482,30,10.155164245920734,adas
REQ_18_i,5.132503687613599,"(67.4184608533215, 30.61617248039472)",BS_72,9.685764761192718,35,19.344509144532665,infotainment
REQ_19_i,5.454739414872449,"(67.4648423025062, 35.03918014511845)",BS_72,12.697368038784017,30,20.02936197732407,infotainment
