Model,Success Rate,Avg Reward per Request,Avg Latency (ms),Cloud Usage (%),Resource Utilization (%),Avg Processing Time (ms),rate
GNN,1.0,1.1753554286645589,4.786211970826527,0.042986812210260364,1997.1000706944835,0.00014763269865140685,0.1
GNN+LSTM(3),1.0,1.1746705618370408,4.7774689700392505,0.0011108058208207823,1997.6930023894106,0.00020715842705069362,0.1
GNN+LSTM(5),1.0,1.149491251787483,4.778411981133722,0.0022324807356214867,1995.888392397905,0.00020612199221203126,0.1
GNN+LSTM(10),1.0,1.1761522601438645,4.780982448282056,0.0011147750832717976,1997.7983548972265,0.0002363203606754334,0.1
Random,1.0,0.47026436626032847,6.006281421480044,4.616376596446354,1999.1725353142847,6.667811608248986e-07,0.1
GNN,1.0,1.1759395679762414,4.786651296738796,0.044813789728021206,1996.5395742743347,0.00016092535174493312,0.3
GNN+LSTM(3),1.0,1.1718058124306563,4.779455959396868,0.0,1998.3086743634865,0.00020613242560471058,0.3
GNN+LSTM(5),1.0,1.1620383924926183,4.784430751659181,0.0,1997.1647163877901,0.00020671562970995492,0.3
GNN+LSTM(10),1.0,1.1801165176256765,4.7666910235921645,0.0,1998.1395728955408,0.00020670012868777215,0.3
Random,1.0,0.45714896020124074,6.024606692416506,4.800854522205758,1999.2648738499956,6.67670280775447e-07,0.3
GNN,1.0,1.1759395679762414,4.786651296738796,0.044813789728021206,1996.5395742743347,0.0001858091288200438,0.5
GNN+LSTM(3),1.0,1.1718058124306563,4.779455959396868,0.0,1998.3086743634865,0.00021070511896342255,0.5
GNN+LSTM(5),1.0,1.1620383924926183,4.784430751659181,0.0,1997.1647163877901,0.00021167998257451504,0.5
GNN+LSTM(10),1.0,1.1801165176256765,4.7666910235921645,0.0,1998.1395728955408,0.0002513471928079079,0.5
Random,1.0,0.45891224833743127,6.017875961986572,4.871230838920228,1997.6303611850853,6.946818179555266e-07,0.5
