Model,Success Rate,Avg Reward per Request,Avg Latency (ms),Cloud Usage (%),Resource Utilization (%),Avg Processing Time (ms),rate
GNN,1.0,0.5211764579874485,4.785635060292476,0.052007196660614416,1996.6207189930656,0.0008002989291096865,1
GNN+LSTM(3),1.0,0.5217395007480177,4.781447437793385,0.02315109452952254,1999.2127923915002,0.0010973143179286047,1
GNN+LSTM(5),1.0,0.5254478938469994,4.744642545678291,0.017570317034786634,2000.0276942302971,0.0011025852393569634,1
GNN+LSTM(10),1.0,0.5215024777289199,4.784056925396491,0.01836594628583088,1995.0033619477417,0.0011138536145871285,1
Random,1.0,0.37423086098682756,6.007644857181097,5.000930659011722,1994.1787018903683,2.887944357776909e-06,1
GNN,1.0,0.4750659112225827,5.0703881671471,3.5790544125409114,1996.9318577470992,0.0002641281911992438,3
GNN+LSTM(3),1.0,0.4741920488738961,5.081114090978246,3.5393084056555217,1999.943819966495,0.00036728885797856006,3
GNN+LSTM(5),1.0,0.4496812049373493,5.38091222470587,2.4455145184113904,1997.3142250367193,0.00036883794946925783,3
GNN+LSTM(10),1.0,0.4772485114852658,5.081700925952677,2.9162791838925175,1998.1079496131945,0.00036640675034287676,3
Random,1.0,0.36339947850734317,6.071774758002723,5.884609138479193,2000.6812413382168,9.39251631802689e-07,3
GNN,1.0,0.46191334917094073,5.2714772156320135,2.1877858531730765,1996.894782768787,0.0002339359204586794,5
GNN+LSTM(3),1.0,0.42220962468643436,5.384831772981926,7.8614396030747065,1994.2465219907813,0.00032481193483266353,5
GNN+LSTM(5),1.0,0.4156439275911124,5.4401787936772,8.067638608233924,1998.2159917560316,0.00032612385593119847,5
GNN+LSTM(10),1.0,0.4156571264811019,5.428086630911266,8.30684208555495,1998.9218833128966,0.00032590803522309134,5
Random,1.0,0.3546353190668434,6.100639319842835,7.06014978977329,1996.3237036640305,8.43500663588894e-07,5
GNN,1.0,0.369983692717016,6.046560998241721,5.072041491764274,1998.6613627378845,0.00023451163741886323,10
GNN+LSTM(3),1.0,0.3450742298041642,5.908448556514993,12.816182908866661,1996.4537100241967,0.0003289869562231899,10
GNN+LSTM(5),1.0,0.3442473511779992,5.917314377735877,12.804242209682803,2001.5578430443832,0.00032374923326600104,10
GNN+LSTM(10),1.0,0.3442846763038475,5.910324145874177,12.936581821746804,1997.3247487554956,0.00032507780439831966,10
Random,1.0,0.3109495030817856,6.2779335810836,12.25142776197061,1996.1605571509904,8.237443398755532e-07,10
