req_id,time,position,base_station,compute_demand,max_latency,process_time,type
REQ_1_s,0.15642269665895303,"(42.79519740568645, 50.602771193276624)",BS_50,18.158425631014783,20,2.0383717364576452,safety-critical
REQ_2_s,0.17577776420631058,"(62.31719688531316, 24.634504504903358)",BS_99,20.0,25,1.9786103543198328,safety-critical
REQ_3_s,0.2258559404487568,"(69.64544072992094, 23.505623002470678)",BS_99,20.0,25,2.01971165109398,safety-critical
REQ_4_s,0.8810850340400357,"(59.51184265127047, 29.102741060279865)",BS_99,20.0,25,1.9610808996454554,safety-critical
REQ_5_i,1.1949516907423736,"(17.87707975054901, 85.55818574794418)",BS_40,17.547507720514684,35,17.88663964887023,infotainment
REQ_6_a,1.4396553227121165,"(49.53533612333944, 54.2970797419181)",BS_44,20.0,30,10.88176103894861,adas
REQ_7_i,1.4705404756964884,"(19.59828624191452, 4.522728891053807)",BS_96,8.346651043346577,30,17.840467374815873,infotainment
REQ_8_s,1.7651089300325375,"(14.833147295832006, 0.0)",BS_96,20.0,15,1.9862349544876803,safety-critical
REQ_9_a,1.8389554102011663,"(52.77414850670202, 96.74742734783938)",BS_57,17.68925116484314,20,9.37652260501504,adas
REQ_10_i,2.660498653407561,"(51.54541006956682, 92.89908847950883)",BS_57,12.85001618652154,35,25.179549405726092,infotainment
REQ_11_i,3.387915957541399,"(56.41022773834576, 96.87706579898854)",BS_57,9.892521882670145,30,24.693930967442018,infotainment
REQ_12_i,3.8013035572059723,"(57.16267312889873, 96.30995954225656)",BS_57,15.382842529025758,30,21.74206862519008,infotainment
REQ_13_a,3.896883164867072,"(53.12020511443279, 93.80117432433389)",BS_57,20.0,25,11.158186652932027,adas
REQ_14_a,4.100146225396459,"(22.82554595070476, 36.35330262846368)",BS_13,16.838935603880245,20,9.640221854708013,adas
REQ_15_i,4.227723130869232,"(23.152730069932947, 61.03206150191697)",BS_19,16.33254124679059,40,20.783165816539668,infotainment
REQ_16_i,4.28769362657521,"(20.97713608499032, 100.0)",BS_22,7.279038323785359,40,17.54793753463151,infotainment
REQ_17_i,4.417821560869035,"(45.83505130686473, 52.08648957284065)",BS_50,14.91652137969762,30,14.97948613402933,infotainment
REQ_18_s,4.471245156809041,"(45.51316105285989, 53.811001248064294)",BS_50,20.0,20,1.9286760557637224,safety-critical
REQ_19_i,4.5234221104708645,"(48.9452760277563, 98.56504541106007)",BS_57,20.0,40,22.255799098060322,infotainment
REQ_20_a,4.615849749127355,"(48.718262751322115, 99.64972904187178)",BS_57,20.0,30,10.378226614740852,adas
REQ_21_i,4.684660451329874,"(40.96494559599145, 99.99254391590192)",BS_58,11.609008097146196,40,17.255927206216167,infotainment
REQ_22_i,5.604775057264643,"(39.18122046715048, 100.0)",BS_24,16.023569705718582,30,23.921428262847286,infotainment
REQ_23_a,5.697067405743944,"(9.310276780589922, 89.72157579533267)",BS_27,20.0,30,11.19072725611364,adas
REQ_24_a,6.098789500015292,"(13.913610359155278, 88.58796351758586)",BS_27,19.28099667974235,25,11.788593857325463,adas
REQ_25_s,7.037335244873695,"(14.666905576571683, 88.50938881832363)",BS_40,20.0,25,1.980833834686705,safety-critical
REQ_26_i,7.46277797656661,"(26.03363136665909, 89.24426207060971)",BS_40,16.42150908218542,40,20.177843852159587,infotainment
REQ_27_i,8.204796380316118,"(39.7057421619678, 89.71308922136944)",BS_58,17.815503064942526,40,17.42852733075115,infotainment
REQ_28_a,8.487677011877745,"(42.740620709810926, 87.96858330750568)",BS_39,20.0,25,10.341590805948716,adas
REQ_29_a,9.621291017251764,"(38.5066521194689, 80.39434718407637)",BS_21,16.610930071182782,20,9.487034682364378,adas
REQ_30_i,9.788630010160825,"(32.7680522553439, 87.34236132480932)",BS_24,6.923500390839532,30,16.450881165994844,infotainment
REQ_31_i,9.837597310991542,"(47.59446527967795, 68.07790146849501)",BS_51,5.3456981677280435,30,18.46852034126721,infotainment
REQ_32_i,9.865969283246443,"(39.79167991749161, 78.07964191402553)",BS_54,10.889643582049132,35,18.634900478037302,infotainment
REQ_33_s,9.978512836684617,"(59.08332605690107, 3.050024993904943)",BS_83,14.056136268421133,15,2.0544475298483684,safety-critical
REQ_34_i,10.224730699444288,"(41.24189313347582, 52.345437861086616)",BS_4,20.0,40,25.5302412749616,infotainment
REQ_35_s,10.274367270180912,"(36.95414870517032, 56.54546474419876)",BS_0,20.0,15,1.9603247491163696,safety-critical
REQ_36_s,10.29435245049048,"(35.35737331609643, 55.52238221681082)",BS_0,20.0,15,2.028894856754942,safety-critical
REQ_37_i,10.74069158544889,"(55.43540525114007, 61.17207462343522)",BS_59,7.807775790311039,30,16.16024080021061,infotainment
REQ_38_a,10.78336508171368,"(54.032130874435964, 58.15219502594648)",BS_53,19.048638572789983,20,10.599896633711007,adas
REQ_39_a,10.991658089191981,"(64.97736826427634, 4.8058924197033726)",BS_83,17.5134068286489,25,10.524609000630509,adas
REQ_40_s,11.319366420786224,"(60.06982500903658, 7.116409791019726)",BS_83,14.595084948336897,25,2.003044830355858,safety-critical
REQ_41_a,11.85743164949384,"(61.20474651513332, 5.761598480181032)",BS_83,19.705526127950186,25,10.446890144774068,adas
REQ_42_i,11.934609684026864,"(18.142405709964088, 43.34693096055744)",BS_6,15.496348103850398,40,18.70992384245025,infotainment
REQ_43_i,11.95922622634234,"(15.031219885432693, 41.569487755975636)",BS_6,19.04819943944963,30,20.921898562629828,infotainment
REQ_44_a,12.501558161673666,"(18.767687911049002, 44.62133908314296)",BS_6,20.0,30,8.779429895718145,adas
REQ_45_i,12.791157053265072,"(35.881568012110534, 94.05007612498372)",BS_24,20.0,40,22.573593976365398,infotainment
REQ_46_a,12.827436226200644,"(33.26562754417498, 98.79579106388871)",BS_24,20.0,30,9.869856945632316,adas
REQ_47_a,13.05386785410615,"(31.55268320302175, 100.0)",BS_24,20.0,30,10.404582895117525,adas
REQ_48_a,13.105303738953523,"(29.38616616850895, 100.0)",BS_24,20.0,20,10.232049937357637,adas
REQ_49_a,13.19382569839345,"(27.799322242155736, 100.0)",BS_24,20.0,30,11.06947795204087,adas
REQ_50_i,13.412871486027973,"(23.84072234887784, 94.14011572774777)",BS_40,12.416093480365445,35,15.524077023623452,infotainment
