req_id,timestamp,position,compute_demand,max_latency,process_time,allocations,home_room,target_room,type,completed,total_latency,is_success,action,reward
REQ_2_i,0.5011693129118413,"(39.59652803379682, 88.802179218147)",19.849305042932414,35,24.0232120042256,{'DCN_6': 19.849305042932414},ACN_0,DCN_6,infotainment,False,4.913802134036025,True,DCN_6,1.017239573192795
REQ_3_i,1.0015381605399603,"(44.888466574010025, 71.11044070940363)",20.0,30,23.611304726558664,{'DCN_6': 20.0},DCN_1,DCN_6,infotainment,False,3.919613152598692,True,DCN_6,1.2160773694802616
REQ_4_s,1.4245468932483114,"(43.21554741900782, 70.99933904362574)",20.0,15,2.034365114263831,{'DCN_6': 20.0},ACN_0,DCN_6,safety-critical,False,4.279496760948842,True,DCN_6,1.1441006478102316
REQ_5_a,1.5389444952462088,"(72.91749031420531, 70.4059846532554)",31.070298395548196,30,9.593917421230085,{'DCN_6': 31.070298395548196},ACN_1,DCN_6,adas,False,6.532595274932584,True,DCN_6,0.6934809450134831
REQ_6_i,1.7821602817115252,"(70.69816585118976, 55.16961534157154)",17.17381392994475,30,17.956750144487213,{'DCN_6': 17.17381392994475},ACN_1,DCN_6,infotainment,False,4.245441240969799,True,DCN_6,1.15091175180604
REQ_7_i,1.8675426593254576,"(61.972006642047575, 56.100494500110024)",16.448397127911818,30,20.631923622110477,{'DCN_6': 16.448397127911818},ACN_0,DCN_6,infotainment,False,3.0668247684287078,True,DCN_6,1.3866350463142583
REQ_8_i,2.633218380900522,"(67.78278326238602, 49.868032952999954)",19.759286273158793,40,15.662221559286566,{'DCN_6': 19.759286273158793},DCN_14,DCN_6,infotainment,False,3.8810758870367366,True,DCN_6,1.2237848225926526
REQ_9_a,2.6335187095836035,"(70.25148287026501, 37.878718514215116)",30.24000848834048,25,10.406391566061064,{'DCN_6': 30.24000848834048},ACN_1,DCN_6,adas,False,6.256822733581432,True,DCN_6,0.7486354532837136
REQ_10_a,2.709694904240755,"(33.79507929823342, 28.255772232139684)",32.933931746068644,25,11.81114900935017,{'DCN_14': 32.933931746068644},ACN_0,DCN_14,adas,False,5.714831985998003,True,DCN_14,0.8570336028003995
REQ_11_i,3.1762072955724547,"(28.77180494563619, 99.58124708658406)",8.668832396761104,40,17.757340073267738,{'DCN_14': 8.668832396761104},ACN_0,DCN_14,infotainment,False,5.610178663729845,True,DCN_14,0.8779642672540311
REQ_12_s,3.685721099516581,"(53.87205739105815, 92.46482433730442)",20.86296045525131,20,1.9164528206154734,{'DCN_6': 20.86296045525131},ACN_0,DCN_6,safety-critical,False,5.0199031462799155,True,DCN_6,0.9960193707440168
REQ_13_i,3.764221537567303,"(64.40525302558154, 96.03279188420811)",15.055515433809155,40,15.295087299494378,{'DCN_14': 15.055515433809155},ACN_0,DCN_14,infotainment,False,6.498304860507199,True,DCN_14,0.7003390278985602
REQ_14_i,3.7647432619630443,"(62.311151091949725, 96.86335622013529)",18.635425870395053,30,16.31828935252487,{'DCN_6': 18.635425870395053},ACN_0,DCN_6,infotainment,False,6.274964911479707,True,DCN_6,0.7450070177040586
REQ_15_i,3.860073558199338,"(38.616366167291304, 100.0)",13.172972796847287,40,14.530840172013756,{'DCN_14': 13.172972796847287},ACN_0,DCN_14,infotainment,False,6.488973373352669,True,DCN_14,0.702205325329466
REQ_16_i,3.902757000867064,"(40.60981479484492, 31.33340549303194)",20.0,30,16.383392995297008,{'DCN_14': 20.0},ACN_0,DCN_14,infotainment,False,4.213358662670934,True,DCN_14,1.1573282674658132
REQ_17_i,3.972886579013247,"(35.54540923636685, 96.30383485707729)",17.49161147822659,40,19.239995285718535,{'ACN_0': 17.49161147822659},ACN_0,ACN_0,infotainment,False,5.452539749643352,True,ACN_0,0.9094920500713297
REQ_18_s,4.323563943973726,"(28.32943015118918, 90.40089054197585)",22.643368194779946,20,2.034396331406292,{'DCN_13': 22.643368194779946},ACN_0,DCN_13,safety-critical,False,6.530663338056046,True,DCN_13,0.6938673323887907
REQ_19_i,4.500596474710033,"(30.709526543513253, 91.71508617948069)",8.71792493224965,35,18.657424205816618,{'ACN_0': 8.71792493224965},ACN_0,ACN_0,infotainment,False,3.5783986410856468,True,ACN_0,1.2843202717828706
REQ_20_i,4.508445800512996,"(34.172678176152424, 94.22460155582439)",20.0,30,19.929472368819752,{'cloud': 20.0},ACN_0,cloud,infotainment,False,2.753730212362441,True,DCN_14,0.44925395752751174
REQ_21_s,4.707897645688322,"(55.306774096646286, 79.7283764038114)",21.28263731169276,15,1.9895162016398136,{'ACN_0': 21.28263731169276},ACN_1,ACN_0,safety-critical,False,6.551399023976581,True,ACN_0,0.6897201952046839
REQ_22_i,4.7854131145628225,"(20.977687050957723, 42.260960855840906)",10.680759343770212,40,23.756935437912414,{'ACN_0': 10.680759343770212},ACN_0,ACN_0,infotainment,False,3.495452826874436,True,ACN_0,1.3009094346251127
REQ_23_i,4.789034296651251,"(18.494022175796264, 49.00715082868098)",17.251740566617443,35,24.33565960469909,{'ACN_0': 17.251740566617443},ACN_0,ACN_0,infotainment,False,4.5132335206429754,True,ACN_0,1.0973532958714047
REQ_24_a,5.08610218884823,"(26.392850491163347, 47.3080382292582)",26.908495265771485,20,10.007010914263775,{'ACN_0': 26.908495265771485},DCN_0,ACN_0,adas,False,4.663356848396939,True,ACN_0,1.0673286303206122
REQ_25_a,5.53975710469062,"(21.24632479271016, 35.70575751710996)",20.0,20,8.276556367215191,{'ACN_0': 20.0},ACN_0,ACN_0,adas,False,4.872072651659293,True,ACN_0,1.0255854696681412
REQ_26_i,5.677727617427694,"(35.88487991516261, 36.58015194347215)",20.0,40,20.79952710551436,{'ACN_0': 20.0},DCN_13,ACN_0,infotainment,False,3.622583560563943,True,ACN_0,1.2754832878872113
REQ_27_i,6.060741938703858,"(44.96376673247078, 52.93333813597312)",20.0,35,23.574215843168847,{'ACN_0': 20.0},DCN_7,ACN_0,infotainment,False,3.2071014786717345,True,ACN_0,1.358579704265653
REQ_28_s,6.130781411807914,"(48.358646776500656, 49.79022631175513)",13.284809208879501,20,2.063714202680986,{'ACN_0': 13.284809208879501},ACN_0,ACN_0,safety-critical,False,1.9155602957905793,True,ACN_0,1.6168879408418841
