req_id,timestamp,position,compute_demand,max_latency,process_time,allocations,home_room,target_room,type,completed,total_latency,is_success,action,reward
REQ_2_s,0.43417232159768515,"(76.55175621505461, 61.017271108456704)",20.0,15,2.079204305373029,{'DCN_14': 20.0},ACN_1,DCN_14,safety-critical,False,3.525999071838363,True,DCN_14,1.2948001856323272
REQ_3_s,0.515859126612058,"(85.67324278857366, 57.861302724987915)",20.0,15,2.035651214182638,{'DCN_7': 20.0},ACN_1,DCN_7,safety-critical,False,6.357217805011846,True,DCN_7,0.7285564389976307
REQ_4_a,2.3638866131873377,"(92.49042773466778, 26.664190417551993)",26.151032237671863,30,9.217006860323254,{'DCN_10': 26.151032237671863},ACN_1,DCN_10,adas,False,6.32471026286159,True,DCN_10,0.7350579474276819
REQ_5_a,2.3838960049407407,"(38.40620355051816, 20.59743996195079)",20.0,25,9.909512878400134,{'DCN_6': 20.0},ACN_0,DCN_6,adas,False,4.750108012530358,True,DCN_6,1.0499783974939283
REQ_6_i,2.431023988310646,"(33.992318797000294, 33.294497313539075)",20.0,35,20.550226912363502,{'ACN_0': 20.0},ACN_0,ACN_0,infotainment,False,3.666316485227374,True,ACN_0,1.2667367029545251
REQ_7_i,2.92165798424636,"(54.24994023120983, 78.24363670121673)",19.096266789291285,35,18.238267310420575,{'ACN_0': 19.096266789291285},ACN_0,ACN_0,infotainment,False,4.68015934178199,True,ACN_0,1.0639681316436018
REQ_8_a,3.046332651633366,"(52.27575811175849, 77.51189720355211)",31.538122276918877,25,10.862914789178587,{'ACN_0': 31.538122276918877},ACN_0,ACN_0,adas,False,5.510307292689715,True,ACN_0,0.8979385414620569
REQ_9_s,3.2447677894709646,"(85.8136785983148, 46.9720638586766)",20.0,20,2.0913706716432032,{'ACN_0': 20.0},ACN_1,ACN_0,safety-critical,False,4.849252724236109,True,ACN_0,1.0301494551527781
REQ_10_i,3.4884695967310932,"(42.699184980962706, 20.227690275423033)",12.453716418843431,30,19.28293148503367,{'ACN_0': 12.453716418843431},ACN_0,ACN_0,infotainment,False,3.4652362278536497,True,ACN_0,1.30695275442927
REQ_11_i,4.001758176253017,"(12.049698848812561, 3.8958076842079854)",20.0,30,15.821582364137543,{'ACN_0': 20.0},ACN_0,ACN_0,infotainment,False,7.3625238189237,True,ACN_0,0.5274952362152598
REQ_12_a,4.689882086215536,"(77.77709954098616, 62.51045531536226)",20.0,25,9.904350363428575,{'ACN_0': 20.0},ACN_1,ACN_0,adas,False,4.125059848234645,True,ACN_0,1.1749880303530709
REQ_13_i,4.774317709954219,"(47.18602756178996, 25.486199040115345)",10.772827657878437,30,18.617641691046376,{'ACN_0': 10.772827657878437},ACN_0,ACN_0,infotainment,False,2.7268972913585925,True,ACN_0,1.4546205417282816
REQ_14_a,4.778987693894776,"(53.65329010785281, 25.94360476118868)",20.0,25,9.884499500551472,{'ACN_0': 20.0},ACN_0,ACN_0,adas,False,3.6671717007953806,True,ACN_0,1.2665656598409238
REQ_15_i,4.809815114874668,"(38.509274528178686, 22.80101072159087)",15.516373695876505,30,19.87499218149311,{'ACN_0': 15.516373695876505},ACN_0,ACN_0,infotainment,False,3.747620717414979,True,ACN_0,1.2504758565170042
REQ_16_s,4.8788632988667295,"(60.674821512214635, 46.85995074135105)",23.565816134578036,20,1.9619879326677734,{'ACN_0': 23.565816134578036},ACN_0,ACN_0,safety-critical,False,3.3048409529711242,True,ACN_0,1.3390318094057752
