req_id,timestamp,position,compute_demand,max_latency,process_time,allocations,home_room,target_room,type,completed,total_latency,is_success,action,reward
REQ_2_a,1.2363001292874287,"(13.928094312727259, 97.10697120124878)",20.0,20,10.258034126493342,{'DCN_14': 20.0},ACN_0,DCN_14,adas,False,6.311316561392292,True,DCN_14,20.73773668772154
REQ_3_i,2.048453613745912,"(10.284822731862178, 57.81087812470521)",15.990986984413624,40,21.95732516352135,{'DCN_14': 15.990986984413624},ACN_0,DCN_14,infotainment,False,5.862718216176725,True,DCN_14,20.827456356764657
REQ_4_s,2.562745232855353,"(13.437260456577922, 46.98576509596466)",20.89622041570288,15,1.9388948396240602,{'DCN_14': 20.89622041570288},ACN_0,DCN_14,safety-critical,False,5.527587750407126,True,DCN_14,20.894482449918574
REQ_5_i,3.316730755250052,"(14.461677442365014, 51.97225408981835)",20.0,35,20.825445669415657,{'DCN_14': 20.0},ACN_0,DCN_14,infotainment,False,6.064844029463751,True,DCN_14,20.78703119410725
REQ_6_a,3.3519447057700007,"(1.525403078866805, 21.26239082341035)",33.790062941712655,25,10.794519197060017,{'cloud': 33.790062941712655},ACN_0,cloud,adas,False,5.688147871910648,True,DCN_14,7.86237042561787
REQ_7_a,3.8207656847753992,"(31.487166448759567, 77.31858897524275)",20.0,30,11.663583185249394,{'DCN_6': 20.0},ACN_0,DCN_6,adas,False,4.946573146347476,True,DCN_6,21.010685370730506
REQ_8_a,4.232187353520621,"(25.655838239818614, 77.1063252462969)",20.0,25,9.897704908347492,{'DCN_14': 20.0},ACN_0,DCN_14,adas,False,4.907614472874656,True,DCN_14,21.01847710542507
REQ_9_a,5.428293059325954,"(62.320171734820434, 74.85482618901663)",31.184061081777912,25,9.962938604277301,{'DCN_6': 31.184061081777912},ACN_1,DCN_6,adas,False,6.539937835857852,True,DCN_6,20.69201243282843
REQ_10_i,5.671354752512371,"(64.23247710955339, 78.19776836248435)",14.047509972311254,35,19.785998812198468,{'DCN_6': 14.047509972311254},ACN_1,DCN_6,infotainment,False,4.898222262777651,True,DCN_6,21.02035554744447
REQ_11_a,5.915880917606382,"(31.467564606724075, 61.40291545250324)",20.0,30,8.531818187357999,{'DCN_14': 20.0},ACN_0,DCN_14,adas,False,4.58868009834238,True,DCN_14,21.082263980331525
REQ_12_s,6.130391078374087,"(35.209844203068585, 58.21206382177955)",20.0,25,1.9440072181830355,{'DCN_6': 20.0},ACN_0,DCN_6,safety-critical,False,3.393127731865027,True,DCN_6,21.321374453626994
REQ_13_i,6.699456184282392,"(30.513530506079306, 57.072145420656504)",13.34276655345383,30,15.822042715587022,{'DCN_6': 13.34276655345383},ACN_0,DCN_6,infotainment,False,3.8615712861110802,True,DCN_6,21.227685742777783
REQ_14_a,6.75399623598647,"(24.764481858189438, 93.59356148496532)",20.0,20,10.391456267694972,{'DCN_6': 20.0},DCN_8,DCN_6,adas,False,5.880266468564132,True,DCN_6,20.823946706287174
REQ_15_a,7.580945188549036,"(32.75102818610976, 96.48101456615595)",29.950104236882627,30,10.986767191049957,{'DCN_6': 29.950104236882627},ACN_0,DCN_6,adas,False,6.802877951449039,True,DCN_6,20.63942440971019
REQ_16_i,8.748863042300211,"(83.11419333658058, 28.671473087677235)",16.318469864551943,30,22.813171998721753,{'DCN_6': 16.318469864551943},ACN_1,DCN_6,infotainment,False,5.711112433655312,True,DCN_6,20.85777751326894
REQ_17_i,9.106756396618838,"(6.974111665530014, 72.18566164535349)",12.74306314385857,35,18.763403566851935,{'DCN_6': 12.74306314385857},ACN_0,DCN_6,infotainment,False,5.074909172090829,True,DCN_6,20.985018165581835
REQ_18_i,9.641504536955587,"(6.822679152884836, 69.64062357495614)",11.259389040357604,30,19.404355270167812,{'DCN_6': 11.259389040357604},ACN_0,DCN_6,infotainment,False,4.617032457580278,True,DCN_6,21.076593508483946
REQ_19_i,10.275127285468374,"(31.19541794396313, 100.0)",17.467012789168017,40,21.52048726112957,{'DCN_6': 17.467012789168017},ACN_0,DCN_6,infotainment,False,6.249635627998938,True,DCN_6,20.750072874400214
REQ_20_i,10.449385824719421,"(6.612152698647453, 21.08648355769087)",14.605284004504902,40,23.057515804636395,{'DCN_2': 14.605284004504902},ACN_0,DCN_2,infotainment,False,6.783157227078726,True,DCN_2,20.643368554584256
REQ_21_i,12.51536588730772,"(83.374780740385, 18.33731185578387)",14.02436555894823,35,24.46962111414952,{'DCN_2': 14.02436555894823},ACN_1,DCN_2,infotainment,False,7.433773733604751,True,DCN_2,20.51324525327905
