req_id,timestamp,position,compute_demand,max_latency,process_time,allocations,home_room,target_room,type,completed,total_latency,is_success,action,reward
REQ_2_a,0.6283276009832917,"(42.61510782502899, 55.966614203838475)",20.0,30,10.98082129227246,{'DCN_8': 20.0},ACN_0,DCN_8,adas,False,5.884848531559335,True,DCN_8,20.823030293688134
REQ_3_i,0.7401104896310148,"(60.81612119113806, 68.57892123691626)",20.0,35,16.140470505613713,{'DCN_12': 20.0},ACN_1,DCN_12,infotainment,False,7.252516999322739,True,DCN_12,20.549496600135452
REQ_4_s,2.1958318363834515,"(58.942862439840916, 74.72001207938037)",20.0,25,1.9988575949773162,{'DCN_12': 20.0},ACN_1,DCN_12,safety-critical,False,7.225188361518899,True,DCN_12,20.55496232769622
REQ_5_a,2.5268728089658294,"(66.20177110126578, 29.967715032615352)",27.417433599429614,30,11.58732133583896,{'DCN_3': 27.417433599429614},ACN_0,DCN_3,adas,False,6.26784812047889,True,DCN_3,20.74643037590422
REQ_6_s,3.3784917603547573,"(51.707672040848756, 25.83658612894155)",20.0,15,2.127167595109337,{'ACN_0': 20.0},ACN_0,ACN_0,safety-critical,False,3.3752018928137955,True,ACN_0,21.32495962143724
REQ_7_i,3.7653408504279704,"(56.006047052345174, 22.84847883059782)",13.605344411483614,30,19.0234723760759,{'ACN_0': 13.605344411483614},DCN_10,ACN_0,infotainment,False,3.4015847823792322,True,ACN_0,21.319683043524154
REQ_8_a,3.8628849672865804,"(60.080276546824024, 42.8505546361301)",20.0,30,9.26826552167381,{'ACN_0': 20.0},ACN_0,ACN_0,adas,False,2.8282161907673085,True,ACN_0,21.434356761846537
REQ_9_i,4.087512638001968,"(59.83342148379478, 46.463024869911585)",14.659944573431336,35,20.37771496299871,{'ACN_0': 14.659944573431336},ACN_0,ACN_0,infotainment,False,2.4262704700764193,True,ACN_0,21.514745905984718
REQ_10_s,5.000674292592841,"(34.38845324620514, 42.71921337141495)",20.61098169798063,20,1.9939249266915022,{'ACN_0': 20.61098169798063},ACN_0,ACN_0,safety-critical,False,3.47091648352957,True,ACN_0,21.305816703294084
REQ_11_s,5.261361863911925,"(0.0, 0.7665496511818904)",20.111872241677002,20,1.9586997790312073,{'ACN_0': 20.111872241677002},ACN_0,ACN_0,safety-critical,False,8.820319343698284,True,ACN_0,20.235936131260342
REQ_12_i,5.544531297540916,"(77.39673631326026, 77.45165253848963)",16.074235202199336,30,23.179870707471835,{'ACN_0': 16.074235202199336},ACN_1,ACN_0,infotainment,False,5.458479490166107,True,ACN_0,20.908304101966777
