Model,Category,Success_Rate,Avg_Latency_All,Avg_Latency_Success,Count
GNN,high_latency_tolerance,0.999928790144556,19.068703210333293,19.066443505465905,14043
GNN,low_latency,0.9575745671876316,19.3191217559687,18.636813368343716,35639
GNN,ultra_low_latency,0.9704810663714774,12.421458645435305,12.127026133264826,21681
GNN+LSTM(10),high_latency_tolerance,1.0,17.340603090891026,17.340603090891026,14043
GNN+LSTM(10),low_latency,0.9728668032211902,18.12196953967054,17.67634339586869,35639
GNN+LSTM(10),ultra_low_latency,0.9463124394631244,14.195074505899596,13.771356748359555,21681
GNN+LSTM(20),high_latency_tolerance,1.0,19.27086693746976,19.27086693746976,14043
GNN+LSTM(20),low_latency,0.9569292067678666,19.009346038069424,18.272645291633225,35639
GNN+LSTM(20),ultra_low_latency,0.9862091231954245,11.593456471269,11.43254853793693,21681
GNN+LSTM(3),high_latency_tolerance,1.0,17.252831138700124,17.252831138700124,14043
GNN+LSTM(3),low_latency,0.9733718678975279,17.75931459565263,17.29059930616369,35639
GNN+LSTM(3),ultra_low_latency,0.9940500899405009,10.678175614005765,10.598545067142943,21681
GNN+LSTM(30),high_latency_tolerance,1.0,17.17559126878462,17.17559126878462,14043
GNN+LSTM(30),low_latency,0.9749151210752266,17.698834469849636,17.272143212811343,35639
GNN+LSTM(30),ultra_low_latency,0.99414233660809,10.682821125239014,10.603939470830483,21681
GNN+LSTM(5),high_latency_tolerance,1.0,21.64837880580049,21.64837880580049,14043
GNN+LSTM(5),low_latency,0.9298801874351132,22.079874723485634,21.085766728970878,35639
GNN+LSTM(5),ultra_low_latency,0.926018172593515,14.479144233055603,13.877656834278014,21681
GNN+Trans(10),high_latency_tolerance,1.0,19.00956957265846,19.00956957265846,14043
GNN+Trans(10),low_latency,0.9608855467325121,19.509639485665556,18.876500953801123,35639
GNN+Trans(10),ultra_low_latency,0.9622711129560445,12.5327870120593,12.151746437000712,21681
GNN+Trans(20),high_latency_tolerance,1.0,19.416069161683936,19.416069161683936,14043
GNN+Trans(20),low_latency,0.9539829961558967,19.88357971577453,19.158575588869947,35639
GNN+Trans(20),ultra_low_latency,0.9493104561597713,12.8756855863677,12.379855041927188,21681
GNN+Trans(3),high_latency_tolerance,0.999928790144556,19.396647312751416,19.39444336558685,14043
GNN+Trans(3),low_latency,0.9558910182665058,19.68397170849181,18.971254295302025,35639
GNN+Trans(3),ultra_low_latency,0.943683409436834,12.638999938440099,12.070177703696546,21681
GNN+Trans(30),high_latency_tolerance,1.0,19.177011921360933,19.177011921360933,14043
GNN+Trans(30),low_latency,0.9560593731586183,19.698130263158586,18.995089878986896,35639
GNN+Trans(30),ultra_low_latency,0.9544762695447627,12.63012941872305,12.179560625889138,21681
GNN+Trans(5),high_latency_tolerance,1.0,18.229351374648353,18.229351374648353,14043
GNN+Trans(5),low_latency,0.9686859900670614,18.739558863623895,18.232139813184716,35639
GNN+Trans(5),ultra_low_latency,0.9827959964946267,11.86574161423614,11.679880295948731,21681
