Model,Success Rate,Avg Reward,Avg Latency All (ms),Avg Latency Success (ms),Processing Time (ms),Resource Utilization (%),Cloud Usage (%)
GNN,0.965061295971979,0.685599104759751,16.631895403911194,16.258080571553048,3.3324563983442905,5.206439763923133,0.0
GNN+LSTM(3),0.9266783420899007,0.6537923067722322,18.635504115226205,18.07062551235119,4.626464015617749,5.206426329277828,0.0
GNN+LSTM(5),0.9886456509048454,0.7421708975394018,14.392465318945078,14.189502400898936,4.706220013038916,5.206053575924756,0.0
GNN+LSTM(10),0.9713076474022183,0.6708860887581373,17.0412298479479,16.72277676750311,4.9628827979671835,5.204638499931814,0.0
GNN+LSTM(20),0.9893461762988909,0.6852579973459649,15.15940251306521,14.971281144262226,5.548657524745782,5.202656719342621,0.0
GNN+LSTM(30),0.9843257443082312,0.710749133596565,15.561825617406509,15.31619124072697,6.166601654248703,5.2017935812203655,0.0
GNN+Trans(3),0.9479276123759486,0.6650447453034155,17.9679745549254,17.479709868181747,5.520529678810151,5.206426329277828,0.0
GNN+Trans(5),0.9806187974314069,0.7115393121271479,15.560548032945487,15.290742063158454,5.695522534381,5.2060535759247575,0.0
GNN+Trans(10),0.9605078809106831,0.6976657274975168,16.633261741445082,16.17665323642057,5.840841762099569,5.204638499931814,0.0
GNN+Trans(20),0.950758902510216,0.6685567029619048,17.620928864248935,17.11587162536659,6.545932329125524,5.202656719342621,0.0
GNN+Trans(30),0.9606830122591944,0.6791760604285593,17.172967495593614,16.76791526517571,7.068517767610567,5.2017935812203655,0.0
