Model,Success Rate,Avg Reward,Avg Latency All (ms),Avg Latency Success (ms),Processing Time (ms),Resource Utilization (%),Cloud Usage (%)
GNN,0.9843160034853325,0.7320946506773849,14.549984362509695,14.348878630165673,3.252884086882552,10.324637269920718,0.0
GNN+LSTM(3),0.9899796688934069,0.7363990084199019,14.78004533459364,14.614062776730131,4.552037789314042,10.324623843578703,0.0
GNN+LSTM(5),0.980002904443799,0.7204569012379611,15.269441331102891,14.978464125578025,4.629542268087723,10.324251265299386,0.0
GNN+LSTM(10),0.993247168167296,0.7450107293766225,14.132908234315162,14.012820549205998,4.891198792154277,10.322836810745791,0.0
GNN+LSTM(20),0.9885274469939007,0.7384681357224893,14.408418511000828,14.241697334300293,5.439617725226064,10.320586385640746,0.0
GNN+LSTM(30),0.9879901248910834,0.7335306026876904,14.382002025833668,14.190136850007233,6.014170267192077,10.319007947748407,0.0
GNN+Trans(3),0.9931164681963404,0.7396126364667511,14.219555236341193,14.100475288603327,5.308510690728419,10.32462384357871,0.0
GNN+Trans(5),0.9894568690095846,0.7374558823811818,14.443735560543043,14.285174171181808,5.5750353129284695,10.324251265299392,0.0
GNN+Trans(10),0.9880482137670636,0.7115606438079773,14.903605061088683,14.730600792153451,5.733274669104318,10.322836810745795,0.0
GNN+Trans(20),0.9400813244263724,0.6867750776534577,17.158783860849688,16.60644529136101,6.4007231014051165,10.320586385640746,0.0
GNN+Trans(30),0.9671652628521639,0.714614546999686,15.905856699851523,15.535924473381241,6.894516560562537,10.319007947748403,0.0
