Model,Category,Success_Rate,Avg_Latency_All,Avg_Latency_Success,Count
GNN,high_latency_tolerance,1.0,17.45061473849548,17.45061473849548,14390
GNN,low_latency,0.9731086810979692,18.09149850923521,17.65222975938336,35848
GNN,ultra_low_latency,0.9928847422486099,10.729123987519891,10.632689723188319,21222
GNN+LSTM(10),high_latency_tolerance,1.0,16.382848881110434,16.382848881110434,14390
GNN+LSTM(10),low_latency,0.9811426020977461,16.93964089034822,16.62224713211773,35848
GNN+LSTM(10),ultra_low_latency,0.9943926114409575,9.830329417794193,9.752863951426185,21222
GNN+LSTM(20),high_latency_tolerance,1.0,16.255166084650007,16.255166084650007,14390
GNN+LSTM(20),low_latency,0.981058915420665,16.88960218004625,16.572340515383573,35848
GNN+LSTM(20),ultra_low_latency,0.99453397417774,9.828110775934999,9.751987677226804,21222
GNN+LSTM(3),high_latency_tolerance,1.0,16.688095728118544,16.688095728118544,14390
GNN+LSTM(3),low_latency,0.9798036152644499,17.42356892237869,17.090423881074276,35848
GNN+LSTM(3),ultra_low_latency,0.995240787861653,10.51522491914005,10.449855366525995,21222
GNN+LSTM(30),high_latency_tolerance,1.0,17.4390270835173,17.4390270835173,14390
GNN+LSTM(30),low_latency,0.9740292345458603,18.072674907990404,17.650402767759473,35848
GNN+LSTM(30),ultra_low_latency,0.9940156441428706,10.713708146578291,10.632354747310679,21222
GNN+Trans(10),high_latency_tolerance,1.0,17.527716577659373,17.527716577659373,14390
GNN+Trans(10),low_latency,0.9778230305735327,18.06646287720122,17.720937487305168,35848
GNN+Trans(10),ultra_low_latency,0.988408255583828,10.87141541735331,10.733301362697242,21222
GNN+Trans(20),high_latency_tolerance,1.0,17.48217268239844,17.48217268239844,14390
GNN+Trans(20),low_latency,0.9734155322472662,18.138015006902474,17.703446538449416,35848
GNN+Trans(20),ultra_low_latency,0.9926020167750448,10.763819123317823,10.667375783291858,21222
GNN+Trans(3),high_latency_tolerance,1.0,17.435483282878323,17.435483282878323,14390
GNN+Trans(3),low_latency,0.9741408167819683,18.072487635707965,17.65239215125642,35848
GNN+Trans(3),ultra_low_latency,0.9940156441428706,10.71322755764987,10.631871265052373,21222
GNN+Trans(30),high_latency_tolerance,1.0,17.468045206566966,17.468045206566966,14390
GNN+Trans(30),low_latency,0.9738060700736443,18.102133160606122,17.67522553680966,35848
GNN+Trans(30),ultra_low_latency,0.993874281406088,10.731625289042897,10.648499888210377,21222
