Model,Category,Success_Rate,Avg_Latency_All,Avg_Latency_Success,Count
GNN,high_latency_tolerance,0.9999305072967338,16.74550890248722,16.743115053614254,14390
GNN,low_latency,0.9922450345904932,16.296338890268125,16.157788724583973,35848
GNN,ultra_low_latency,0.8886061634153237,13.20018796141822,12.068038007159727,21222
GNN+LSTM(10),high_latency_tolerance,1.0,16.15864657510495,16.15864657510495,14390
GNN+LSTM(10),low_latency,0.9921334523543852,16.08944050769814,15.945174603493935,35848
GNN+LSTM(10),ultra_low_latency,0.9231457921025351,12.261262687203647,11.461084644582245,21222
GNN+LSTM(20),high_latency_tolerance,1.0,15.862201973326753,15.862201973326753,14390
GNN+LSTM(20),low_latency,0.9932213791564383,15.962612606021214,15.845360162831053,35848
GNN+LSTM(20),ultra_low_latency,0.8933182546414099,12.381955334010142,11.191959993137305,21222
GNN+LSTM(3),high_latency_tolerance,1.0,16.38252945748695,16.38252945748695,14390
GNN+LSTM(3),low_latency,0.9942814103994644,16.27465384906548,16.17456298052903,35848
GNN+LSTM(3),ultra_low_latency,0.8486005089058524,13.475536770433195,11.90766321945563,21222
GNN+LSTM(30),high_latency_tolerance,1.0,16.422040142411117,16.422040142411117,14390
GNN+LSTM(30),low_latency,0.9901807632224949,16.654500022937384,16.48362275750826,35848
GNN+LSTM(30),ultra_low_latency,0.8923287154839318,12.617892975178407,11.447274527984307,21222
GNN+Trans(10),high_latency_tolerance,1.0,15.191355268550092,15.191355268550092,14390
GNN+Trans(10),low_latency,0.9930261102432493,15.736641146171266,15.61042891484979,35848
GNN+Trans(10),ultra_low_latency,0.9582979926491377,11.293830625227455,10.827327375090865,21222
GNN+Trans(20),high_latency_tolerance,1.0,15.206093639393893,15.206093639393893,14390
GNN+Trans(20),low_latency,0.9938908725730864,15.663337123690564,15.550772827283572,35848
GNN+Trans(20),ultra_low_latency,0.9566958816322684,11.394303235991046,10.912377781497858,21222
GNN+Trans(3),high_latency_tolerance,1.0,15.697328478954637,15.697328478954637,14390
GNN+Trans(3),low_latency,0.9936677081008704,15.986993373950545,15.875788298546476,35848
GNN+Trans(3),ultra_low_latency,0.9406276505513147,11.790822191015165,11.128947374735674,21222
GNN+Trans(30),high_latency_tolerance,1.0,17.096758035430764,17.096758035430764,14390
GNN+Trans(30),low_latency,0.9929703191251953,16.521394243284778,16.400261910841916,35848
GNN+Trans(30),ultra_low_latency,0.8574121194986335,13.518791956853132,12.036847663589166,21222
