Model,Success Rate,Avg Reward,Avg Latency All (ms),Avg Latency Success (ms),Processing Time (ms),Resource Utilization (%),Cloud Usage (%),rate
GNN,0.950631053712944,0.6402318255402683,16.595479648839646,16.62189363707683,8.982116968917959,22.06341249656408,0.0,1
GNN+LSTM(3),0.8951276783093631,0.5465432176802748,18.261473004918773,18.36766136596907,12.772178583422258,22.06279949988928,0.0,1
GNN+LSTM(10),0.9647783974170825,0.6655531063212335,16.373414915595987,16.352399830245727,12.605586806314937,22.060144334850804,0.0,1
GNN+LSTM(20),0.9622395068975639,0.6583058722659123,16.50229542414735,16.46455716845519,13.226714657659505,22.05300299725046,0.0,1
GNN+LSTM(30),0.96496918109774,0.6683236389790619,16.12225757676893,16.081148149669364,13.070708417038711,22.050226782203637,0.0,1
GNN+Trans(3),0.9617698855297916,0.6553566546821619,16.50217704325298,16.47568612713498,12.486521810039523,22.06279949988928,0.0,1
GNN+Trans(10),0.9654241267977693,0.6631817139333047,16.55014230891769,16.52416477689783,12.143075658598358,22.0601443348508,0.0,1
GNN+Trans(20),0.9654828294687409,0.6630244416286845,16.64312637947065,16.62091677258434,12.765020907082654,22.053002997250466,0.0,1
GNN+Trans(30),0.9642941003815674,0.6648770611625656,16.30416322643949,16.280165588827504,12.653655973669018,22.050226782203648,0.0,1
Random,0.8294393894922218,0.40040903968729413,26.255937332938068,22.173580584587352,0.008572439031934054,20.370676454186235,6.467566774288231,1
Greedy,0.9785882007631347,0.7153592576854956,14.422998463808602,14.367466732088793,0.1810020668470933,22.063412496564077,0.0,1
Lowest Utilization First,0.8788670384502495,0.5017240132561914,19.959492319171407,20.115635420302908,0.15728288918672365,22.06341249656408,0.0,1
GNN,0.7665781574694066,0.39437317716628845,32.73212352210299,28.143342070914883,10.186177025598786,80.65812552274451,13.705841607019165,5
GNN+LSTM(3),0.7728122835372893,0.405015492471078,32.711395689007965,27.96744297885979,14.480884673550838,80.57728355121145,13.747402447471716,5
GNN+LSTM(10),0.831609328099746,0.5073676413277775,31.84978866573577,26.542631698671354,14.611766845352571,80.77601469810422,13.634264604017549,5
GNN+LSTM(20),0.7933156314938813,0.440127339472627,32.42695528085078,27.605825867674856,15.622628101215877,80.48577566422196,13.718540752712999,5
GNN+LSTM(30),0.7755945509120296,0.41198359522144734,32.48512541800178,27.839705021271527,16.182390436843207,80.73343081930969,13.610020780420227,5
GNN+Trans(3),0.7662895405218194,0.3948336716890756,32.7379053080346,28.02910527952774,15.099811801676992,81.04067349773679,13.666589702147311,5
GNN+Trans(10),0.7738051258369891,0.4087645939635442,32.56083998949739,27.902621724835516,15.150638552577412,80.94109015858615,13.637728007388594,5
GNN+Trans(20),0.7879473562687601,0.43076892260444055,32.59057393218967,27.86724097679714,16.612081675242123,80.12122225552959,13.78665435234357,5
GNN+Trans(30),0.7710344031401524,0.4010793764122767,32.71773173936194,28.171821444710062,16.740745128480977,80.36284593588621,13.704687139228817,5
Random,0.7515931655506811,0.34640765187839506,38.580727152494475,28.19690426764348,0.016378500367444045,76.85869143094874,20.362502886169477,5
Greedy,0.9029323481874856,0.6493260478848369,29.205862383606576,23.27319493911993,0.29068946342935076,83.21251271526444,12.695682290464097,5
Lowest Utilization First,0.8138420688062803,0.4875484292445046,31.534600665162955,26.434953770847635,0.2745087304750564,83.2947049424423,12.897714153775109,5
GNN,0.7632451766746152,0.3453505426044936,45.16122429168196,33.27564913994023,9.549883976433351,87.29204937191092,28.044656405809672,8
GNN+LSTM(3),0.7572404075438977,0.3342520383399503,45.23160268765421,33.6856781799392,13.54707542014644,87.23961563849336,27.99804899197919,8
GNN+LSTM(10),0.7663125948406677,0.35003418481614906,45.118041814894916,33.35062706371834,13.319461277966486,87.29026286256322,27.96011272490787,8
GNN+LSTM(20),0.7699436375460654,0.3568356665173987,45.131569433195544,33.12071116192823,14.306619483634343,87.36721808360348,28.09126381964015,8
GNN+LSTM(30),0.7755473661391719,0.36633403170295475,45.01783318643786,32.926359996461954,14.583287064899418,87.31577064297517,28.011055712117926,8
GNN+Trans(3),0.7790483416431823,0.3721490426529794,44.987960580155864,32.75320699050521,13.64501612630398,87.51879251025366,28.06416648601778,8
GNN+Trans(10),0.7728267938434858,0.3622540093567158,45.05465150436194,32.882688888040036,13.10379667187006,87.53336495291305,28.11402557988294,8
GNN+Trans(20),0.7858009971818773,0.384349007637425,44.87610872573725,32.54932603859795,14.205085481812787,87.56921895329931,28.042488619119876,8
GNN+Trans(30),0.7461630175590722,0.31598809276638,45.36774964096206,33.98427999564507,14.39044862669046,87.43007468520385,28.03490136570562,8
Random,0.6648601777585086,0.1591034982097178,51.4045947084079,35.749805109485536,0.010750540781506949,85.69741844840726,34.137220897463685,8
Greedy,0.8077389984825493,0.42833812618478456,43.918241710188965,30.7115954422054,0.21870764739183138,89.36838957148454,27.918924777801863,8
Lowest Utilization First,0.7195209191415565,0.27223564157987157,46.13615355616144,34.53165869568557,0.2096591222164767,88.56272933480525,28.59852590505094,8
