Model,Success Rate,Avg Reward,Avg Latency All (ms),Avg Latency Success (ms),Cloud Usage (%),Resource Utilization (%),Processing Time (ms)
GNN,0.6404826242694652,0.09519879858572156,56.33643960333428,37.51838227995464,39.331584754054,57.63965394198297,9.525047069897289
GNN+LSTM(3),0.6423809773765157,0.09880949755978033,56.043552463911034,37.54533597343214,39.065254811955555,57.28840186619267,13.754991855514882
GNN+LSTM(10),0.639526463272567,0.09384024088431399,56.3096741591641,37.55912333074269,39.326053627858954,57.74436245777766,13.567485206883054
GNN+LSTM(20),0.6405930470347648,0.09615170442014025,56.31031409652733,37.496484262081985,39.38347642155033,58.35341897193699,14.442798815552369
GNN+LSTM(30),0.6465380034361725,0.10762977969931992,55.784423592776605,37.17346885205339,38.927235972473895,58.63769880455225,15.76106930361408
GNN+Trans(3),0.6458873549944885,0.1056258737577338,55.883012529993664,37.27746789773244,38.97866569297376,58.436452942985674,14.010321115839307
GNN+Trans(10),0.6449628999926534,0.10461060561913126,55.96170434452087,37.31659474783099,39.01421524149223,58.36410846791134,12.484363661019955
GNN+Trans(20),0.6436918325612454,0.10198274846631944,56.1763496336912,37.396726952011946,39.299489859400275,58.994649776225096,12.651516734517934
GNN+Trans(30),0.6417104971909816,0.0997679214631938,55.661029300181134,37.50928111830782,38.63081708964838,57.99287563495302,13.705697824334848
Random,0.6631152870115979,0.15604278347926498,51.447323516063655,35.7117323719617,34.06244138304746,75.16650173128582,0.013846653026199906
Greedy,0.803392588883325,0.42200533355545045,44.20179499145756,30.64711397372887,28.064609770257942,79.11992214236811,0.26543754205247344
Lowest Utilization First,0.7148535302954432,0.2631428223850375,46.529215754766824,34.545595419785094,28.841129634237372,79.02385143665373,0.2976169932824893
