Model,Success Rate,Avg Reward,Avg Latency All (ms),Avg Latency Success (ms),Processing Time (ms),Resource Utilization (%),Cloud Usage (%),rate
GNN,0.950631053712944,0.6402318255402683,16.595479648839646,16.62189363707683,8.24007550956988,22.06341249656408,0.0,1
GNN+LSTM(3),0.8951276783093631,0.5465432176802748,18.261473004918773,18.36766136596907,11.711200371074089,22.06279949988928,0.0,1
GNN+LSTM(10),0.9647783974170825,0.6655531063212335,16.373414915595987,16.352399830245727,11.937273503889392,22.060144334850804,0.0,1
GNN+LSTM(20),0.9622395068975639,0.6583058722659123,16.50229542414735,16.46455716845519,12.904448375556347,22.05300299725046,0.0,1
GNN+LSTM(30),0.96496918109774,0.6683236389790619,16.12225757676893,16.081148149669364,13.413670226069955,22.050226782203637,0.0,1
GNN+Trans(3),0.9617698855297916,0.6553566546821619,16.502114006315576,16.475620584494948,12.11923154736321,22.06279949988928,0.0,1
GNN+Trans(10),0.9654241267977693,0.6631813986987525,16.550166849283826,16.524190196157054,12.251157966358488,22.0601443348508,0.0,1
GNN+Trans(20),0.9654828294687409,0.6630282698097713,16.64302466818587,16.620811424998987,13.658666267820491,22.053002997250466,0.0,1
GNN+Trans(30),0.9642941003815674,0.6648758198603961,16.30417272381522,16.28017543787224,14.066732989961464,22.050226782203648,0.0,1
GNN,0.7665781574694066,0.39437317716628845,32.73212352210299,28.143342070914883,8.935340550170983,80.65812552274451,13.705841607019165,5
GNN+LSTM(3),0.7725929346571231,0.40459653309726884,32.72421813165248,27.97093528065272,12.482004805872936,80.56798782272422,13.757792657584853,5
GNN+LSTM(10),0.831609328099746,0.5073676413277775,31.84978866573577,26.542631698671354,12.00787148556019,80.77601469810422,13.634264604017549,5
GNN+LSTM(20),0.7933156314938813,0.440127339472627,32.42695528085078,27.605825867674856,13.48035945487171,80.48577566422196,13.718540752712999,5
GNN+LSTM(30),0.7755945509120296,0.41198359522144734,32.48512541800178,27.839705021271527,13.972608469507486,80.73343081930969,13.610020780420227,5
GNN+Trans(3),0.766301085199723,0.39477190462599276,32.74914911450718,28.022773046829656,12.73149231019127,81.03969222371184,13.680443315631493,5
GNN+Trans(10),0.7738051258369891,0.4087645939635442,32.56083998949739,27.902621724835516,12.97065484499001,80.94109015858615,13.637728007388594,5
GNN+Trans(20),0.7879473562687601,0.43076892260444055,32.59057393218967,27.86724097679714,14.481058846827992,80.12122225552959,13.78665435234357,5
GNN+Trans(30),0.7710344031401524,0.4010793764122767,32.71773173936194,28.171821444710062,15.139855784704878,80.36284593588621,13.704687139228817,5
GNN,0.7632451766746152,0.3453505426044936,45.16122429168196,33.27564913994023,7.33744662417369,87.29204937191092,28.044656405809672,8
GNN+LSTM(3),0.7572404075438977,0.3342520383399503,45.23160268765421,33.6856781799392,10.629328339161388,87.23961563849336,27.99804899197919,8
GNN+LSTM(10),0.7663125948406677,0.35003418481614906,45.118041814894916,33.35062706371834,10.406387573257073,87.29026286256322,27.96011272490787,8
GNN+LSTM(20),0.7699436375460654,0.3568356665173987,45.131569433195544,33.12071116192823,10.870707606173585,87.36721808360348,28.09126381964015,8
GNN+LSTM(30),0.7755473661391719,0.36633403170295475,45.01783318643786,32.926359996461954,10.899699724033239,87.31577064297517,28.011055712117926,8
GNN+Trans(3),0.7790483416431823,0.3721490426529794,44.987960580155864,32.75320699050521,10.748770126881942,87.51879251025366,28.06416648601778,8
GNN+Trans(10),0.7728267938434858,0.3622540093567158,45.05465150436194,32.882688888040036,10.443007072553751,87.53336495291305,28.11402557988294,8
GNN+Trans(20),0.7858009971818773,0.384349007637425,44.87610872573725,32.54932603859795,10.88390686805042,87.56921895329931,28.042488619119876,8
GNN+Trans(30),0.7461413396921743,0.3159227744060488,45.37292517106327,33.97279960568983,10.876457424502865,87.43106645494414,28.040320832430087,8
