Model,Success Rate,Avg Reward,Avg Latency All (ms),Avg Latency Success (ms),Processing Time (ms),Resource Utilization (%),Cloud Usage (%),rate
GNN,0.9587471131639723,0.6572882241379463,16.305172718349983,16.314261306715206,8.153017887342333,21.898679221859616,0.0,1
GNN+LSTM(3),0.9674076212471132,0.6678009193500684,16.43001078238722,16.422312463154306,11.39942071041389,21.89835172554701,0.0,1
GNN+LSTM(10),0.9626732101616629,0.6674387050047212,16.066069523943725,16.071104290936567,11.396527238723587,21.893655170981976,0.0,1
GNN+LSTM(20),0.9654157043879907,0.6709655516231448,16.076026985240055,16.062268454554527,12.81187397365482,21.88780278932351,0.0,1
GNN+LSTM(30),0.9207996535796766,0.6032151681188139,16.712932200108643,16.73508119311886,13.141698350669605,21.88282150508488,0.0,1
GNN+Trans(3),0.9283775981524249,0.6088503723408609,16.782506111815707,16.874685956494936,11.989485876802485,21.89835172554701,0.0,1
GNN+Trans(10),0.9501443418013856,0.6454052001692775,16.433889917070854,16.44973797171719,12.106296870917701,21.89365517098198,0.0,1
GNN+Trans(20),0.9687788683602772,0.6754264365010573,15.98681287028171,15.987602294903223,13.12811327173308,21.887802789323505,0.0,1
GNN+Trans(30),0.9572315242494226,0.6558227263786399,16.435046052150103,16.46047666043425,13.837153387124765,21.882821505084877,0.0,1
GNN,0.7954209919261822,0.4316648114281164,35.62167658204829,28.246034783420765,8.546501726702697,73.6482231636671,18.333333333333332,5
GNN+LSTM(3),0.8031833910034603,0.44405061884804636,35.50510909005995,28.17507043867608,12.520031926266189,73.65184096058469,18.201845444059977,5
GNN+LSTM(10),0.830876585928489,0.4939416609241417,35.05127337174868,27.314933204428193,12.272557662295085,73.89770888043546,18.207612456747405,5
GNN+LSTM(20),0.7953748558246828,0.42959007438633573,35.62632689175926,28.25660924064781,13.289326279496102,73.6404217106609,18.25374855824683,5
GNN+LSTM(30),0.7730103806228373,0.3952751234304718,35.84846268786024,29.011997475093015,13.476677213160636,73.62102551148449,18.215686274509803,5
GNN+Trans(3),0.8214186851211073,0.4783293204140468,35.11782525222749,27.276636888334256,12.535469265270123,74.12023819853715,18.27681660899654,5
GNN+Trans(10),0.8192733564013841,0.47348133567030043,35.169536460176026,27.60875014721294,12.59435332220181,73.79224504801367,18.181084198385236,5
GNN+Trans(20),0.7943021914648212,0.4310585599365033,35.44152361364586,28.30154971088286,13.655180155612193,73.82813658674596,18.181084198385236,5
GNN+Trans(30),0.7500115340253749,0.3523915938648011,36.25956231979661,29.63369826959945,14.112345391353797,73.69377825468729,18.277970011534027,5
GNN,0.7289359391965256,0.2755246118637167,47.07517811696181,34.01114684700003,7.21265279250088,84.45011848633615,30.58089033659066,8
GNN+LSTM(3),0.7514115092290988,0.31509047491056524,46.83301663686774,33.13200678744263,10.535355955200526,84.4065881321377,30.653637350705754,8
GNN+LSTM(10),0.7541910966340933,0.319771019506687,46.812708144022054,33.25007269904435,10.250598889867595,84.0951103711736,30.58089033659066,8
GNN+LSTM(20),0.7234744842562432,0.26973216252211096,47.07858760726075,34.270286756863534,10.74965316231942,84.60957017279019,30.586319218241044,8
GNN+LSTM(30),0.7527904451682953,0.31651889184875504,46.91337733139225,33.11484609943167,10.803542947406747,84.55561445815627,30.675352877307276,8
GNN+Trans(3),0.7523018458197611,0.3158942386838532,46.854598454263346,33.209936924492965,10.554964029827802,84.3408132972842,30.681867535287733,8
GNN+Trans(10),0.7557220412595005,0.3215673384721797,46.772781764572635,33.147303241679154,10.243557648860671,84.18121026890161,30.560260586319217,8
GNN+Trans(20),0.7539956568946797,0.32020050061744265,46.78014161121931,33.17646179592347,10.761098258528984,84.13215568159758,30.602605863192185,8
GNN+Trans(30),0.7092833876221498,0.24253309486944954,47.376337888373236,35.00465122637839,10.731171979189696,84.12672505358557,30.591748099891426,8
