Model,Success Rate,Avg Reward,Avg Latency All (ms),Avg Latency Success (ms),Cloud Usage (%),Resource Utilization (%),Processing Time (ms)
GNN,0.7245727094424208,0.2701327679488901,44.412951251460875,30.98643461111013,27.436682438074033,43.73333599870218,8.370286764754846
GNN+LSTM(3),0.723503127792672,0.269423463884634,44.455799720223,30.917194404189814,27.517754105636925,44.11206077099795,11.781346311158622
GNN+LSTM(10),0.7289034611640164,0.2784481121659696,44.39829350601379,30.965658303089874,27.535764703266896,45.120680695788664,12.295119122109494
GNN+LSTM(20),0.72393721021172,0.27067392339072555,44.231086383128556,30.82627887684383,27.328117196603962,44.96948566507904,13.14768175207995
GNN+LSTM(30),0.7227158983484402,0.26937990327927275,44.00961777297002,30.90678399218577,26.988896867922445,44.89306774973347,14.56641646726931
GNN+Trans(3),0.727792672028597,0.2751162925055527,44.92078015731097,31.08167243697417,28.245672436750997,46.904354556089935,13.526883807332581
GNN+Trans(10),0.7259939796112485,0.2701545433055695,45.095500513187076,31.151628613355236,28.312750797550102,46.24182345199289,13.244184332442085
GNN+Trans(20),0.7235461706049942,0.2694348346054537,44.43250108861359,30.995869964586735,27.580045502469343,45.04579353316978,14.469501674654852
GNN+Trans(30),0.7194350219651894,0.264383871397731,43.83344322391009,31.050826237690014,26.65635530022648,45.26595339221961,14.334537108049982
Random,0.7277640397891934,0.2912416353560664,42.1622053283252,29.80253277100196,24.777984017072168,61.58407941077078,0.011712171257325928
Greedy,0.8736502766375156,0.5782402799727921,33.46339805188897,24.666961037573692,17.720060278344118,65.94192653990987,0.2530497757955895
Lowest Utilization First,0.7871006603605212,0.42093011071982445,35.893176035129486,28.111600579070966,18.128933605176847,69.26711735955107,0.2511990597649422
