Model,Success Rate,Avg Reward,Avg Latency All (ms),Avg Latency Success (ms),Processing Time (ms),Resource Utilization (%),Cloud Usage (%)
Random,0.749833829933532,0.34212892846351745,38.721615689066645,28.262631362138258,0.008910226351947596,76.50030301836426,20.49851019940408
All-Cloud,0.19511803804721523,-0.855532943464042,113.1728868554786,117.18431857265952,0.0009631129707897745,0.0,100.0
All-Local,0.581022232408893,-0.07775044933363172,68.34707892515543,37.910020620156,0.15230780070783784,31.797857923290874,55.17419206967683
Lowest Utilization First,0.8138551455420582,0.48660468448663147,31.63151745408026,26.492634466457346,0.16520211736516016,82.97782142376292,12.987050194820076
GNN,0.7672129268851707,0.3945219167560338,32.78310583297141,28.18465403101099,4.7646900081809385,80.36937263397151,13.7646115058446
GNN+LSTM(3),0.7721063488425396,0.4027867144955631,32.805163420064396,28.06564113914755,6.664560665211054,80.32947000057639,13.828787531515013
GNN+LSTM(10),0.8306383222553289,0.5046660988299123,31.965332142332617,26.596500706819768,6.862500851618268,80.4938465738028,13.7531515012606
GNN+LSTM(20),0.7917717167086867,0.43667542414361715,32.5127908820998,27.641231503877748,7.738195396251097,80.30651942623133,13.797845519138207
GNN+LSTM(30),0.775137520055008,0.410246484071242,32.568202113824746,27.910244570900883,8.304630506484028,80.51147524722883,13.689548475819391
GNN+Trans(3),0.7663190465276186,0.3938403193324776,32.80353621351802,28.087726714050973,7.469879486624756,80.80869217583756,13.7393994957598
GNN+Trans(10),0.7730059592023837,0.40654096401806006,32.65073308055952,27.94032475992736,7.745483327070398,80.66029875154442,13.728512491404995
GNN+Trans(20),0.787583085033234,0.42922576862310735,32.64594512576394,27.95533003048796,8.519317798868057,79.8817084853888,13.834517533807015
GNN+Trans(30),0.7698773779509511,0.3982742022173371,32.81988046146356,28.210717217558507,9.049420577518552,80.16357538193482,13.80758652303461
