Model,Success Rate,Avg Reward,Avg Latency All (ms),Avg Latency Success (ms),Processing Time (ms),Resource Utilization (%),Cloud Usage (%),rate
Random,0.8310305452469312,0.4212456943982983,26.267133774363252,22.184079733870032,0.007747426361075272,20.414956979930565,6.480159862974594,1
All-Cloud,0.19577504995717956,-0.8553485491685757,113.90904365721944,118.03981312741357,0.0008036741147271367,0.0,100.0,1
All-Local,0.8426491578646874,0.45488506375165494,33.63499284363109,20.67190921058663,0.12637070849933454,16.089220215075073,19.725949186411647,1
Lowest Utilization First,0.8799600342563517,0.525231316457511,19.966851068567227,20.11927061522389,0.13948314502312054,22.131238331785436,0.0,1
GNN,0.9512132457893234,0.6619848576102059,16.603666251746453,16.628328640930594,2.64237961563559,22.131238331785426,0.0,1
GNN+LSTM(3),0.8956323151584357,0.56708265503931,18.276891513763633,18.38154693729585,3.6889229915225776,22.13123833178543,0.0,1
GNN+LSTM(10),0.9648015986297459,0.6868489026562484,16.398002436420757,16.3777937116918,4.144805375419614,22.12892041929143,0.0,1
GNN+LSTM(20),0.9625463888095918,0.6794432095583217,16.515826773510778,16.480137342960557,4.7716086774494455,22.122720102005538,0.0,1
GNN+LSTM(30),0.9649443334284898,0.6897195970289126,16.142373079702498,16.093415967183955,5.360816690944244,22.121410290895014,0.0,1
Random,0.7524048324595396,0.30582114288225815,38.58333356502191,28.15758313994596,0.007402866990467887,76.85453504687797,20.366993389560065,5
All-Cloud,0.19505356735810347,-0.8556973360536717,113.16461406599497,117.13088368776107,0.0007924496624826815,0.0,100.0,5
All-Local,0.5772053795304308,-0.07633622937688148,68.66951490939593,38.00075884441835,0.12733117849864312,31.80375167409546,55.50490084340096,5
Lowest Utilization First,0.8147025302028721,0.3968524476480868,31.490736209528844,26.397556011028165,0.13802852069758217,83.3401382842698,12.860724868930932,5
GNN,0.7681787098244814,0.3221740495792444,32.69826003593716,28.10005676300545,2.6351040469939817,80.7456395824171,13.672213357647594,5
GNN+LSTM(3),0.7736266241167085,0.33128777314865165,32.72325270406254,27.95144744997513,3.6615088884341898,80.56117505424606,13.761112377478915,5
GNN+LSTM(10),0.8317073170731707,0.4259449953978026,31.821546513567533,26.53173845116712,4.118605368713977,80.7887233574324,13.61066788237976,5
GNN+LSTM(20),0.7946432641896513,0.3654095226107258,32.3220545835772,27.60061120454057,4.73035538905787,80.55875548636544,13.592432186004103,5
GNN+LSTM(30),0.7773649418737179,0.33924222719762753,32.4000496870817,27.775040460509775,5.347199550869527,80.86765759822259,13.524048324595395,5
Random,0.6656263360410432,0.12799068157017152,51.47753318267916,35.84937117380552,0.007273316026600368,85.61273006274118,34.211201368106025,8
All-Cloud,0.1953398888413852,-0.8550299603805963,113.08913767227291,117.01974312115387,0.0008028559625632949,0.0,100.0,8
All-Local,0.5165027789653698,-0.20822850747398616,76.38755579967778,43.88106793595844,0.12667104187761938,36.745049017854505,63.29841812740488,8
Lowest Utilization First,0.7179563916203506,0.21908591214132175,46.37206207761224,34.661078833884254,0.13611930820257961,88.59597763077909,28.849935870029924,8
GNN,0.7635100470286447,0.29319760872415757,45.250459718775666,33.2758174743194,2.6212795721562108,87.38696865891824,28.131680205215904,8
GNN+LSTM(3),0.7569260367678495,0.2802079225493382,45.33389818232476,33.71803679284995,3.649034057737875,87.3769805464559,28.108165882855925,8
GNN+LSTM(10),0.7667592988456605,0.29762117803672966,45.1471558329655,33.39659745660901,4.1099344374227345,87.37443069885919,27.98631893971783,8
GNN+LSTM(20),0.7705002137665669,0.3041648062553847,45.21280068528339,33.161102789016326,4.735008377761808,87.43834817926117,28.18298418127405,8
GNN+LSTM(30),0.7725309961522018,0.30764811542733417,45.276119162790124,32.94903029924503,5.337138678488338,87.44373169608201,28.27917913638307,8
