Model,Success Rate,Avg Reward,Avg Latency All (ms),Avg Latency Success (ms),Processing Time (ms),Resource Utilization (%),Cloud Usage (%),rate
Random,0.8314830690098586,0.4085164832102994,26.184390384724548,21.883029706558087,0.008799754171511806,20.168316457505217,6.91598799828547,1
All-Cloud,0.19537791113016145,-0.8558662823051344,113.55075731221577,117.69695308444872,0.0008991231644455066,0.0,100.0,1
All-Local,0.8094156308044006,0.3723116296629497,38.292863327360784,22.52274953198366,0.1494681107893997,14.496726188020629,24.742106015145023,1
Lowest Utilization First,0.8808686955279326,0.5105505706334373,19.62639436224537,19.821611630818424,0.16473715161234845,22.0069333203666,0.0,1
GNN,0.9601228746963852,0.6598891506568237,16.28919615987866,16.301038854464704,4.295233468155058,22.0069333203666,0.0,1
GNN+LSTM(3),0.9686740962994713,0.6702748336118862,16.38943691709191,16.38987939579405,6.0779006604825385,22.006769630014546,0.0,1
GNN+LSTM(10),0.9641020145735105,0.6703976478229494,16.036812219626707,16.04515603522467,6.295963494602928,22.00442176444758,0.0,1
GNN+LSTM(20),0.9669238462637519,0.6737926785093831,16.06374219682507,16.053967342459163,7.015152324317336,22.00167512659073,0.0,1
GNN+LSTM(30),0.9236319474210601,0.6083680990053139,16.66075437852312,16.68435594997861,7.593230820328938,21.999539281377277,0.0,1
GNN+Trans(3),0.9291613087583941,0.6102218673168603,16.77794881593223,16.873003859219313,6.8115001815543,22.006769630014546,0.0,1
GNN+Trans(10),0.9514073439062724,0.6477682088561719,16.41540703409388,16.433029355089616,7.203215048098193,22.004421764447585,0.0,1
GNN+Trans(20),0.9699671381625946,0.6779072072373096,15.962655239191026,15.964983291338998,8.093942659448635,22.00167512659072,0.0,1
GNN+Trans(30),0.9591084440634376,0.6592817662352122,16.40937961851571,16.438170176200117,8.535828049105566,21.999539281377285,0.0,1
Random,0.7278535698044566,0.2905295834656102,42.2990238228028,29.884485767239788,0.008301509407879604,68.87839277924942,25.07844474761255,5
All-Cloud,0.19470782173715326,-0.8558642720046212,112.59438728684243,116.43272387601628,0.000903984805354751,0.0,100.0,5
All-Local,0.5552239654388358,-0.132994819108878,71.1192849676064,39.72088500607127,0.15113258725027973,27.816554415238098,58.524897680763985,5
Lowest Utilization First,0.7884095043201456,0.424747590894873,35.750469540739296,28.05659932090877,0.16126287232859127,74.53672344526244,18.16393815370623,5
GNN,0.7944918144611187,0.43033943043652234,35.4858848237871,28.112054175177306,4.756918035891448,73.11974761386243,18.15825375170532,5
GNN+LSTM(3),0.8009777171441564,0.4401026268163319,35.439136667382044,27.919690136587622,6.665977347759075,73.11424790969924,18.1031150522965,5
GNN+LSTM(10),0.8284674852205548,0.4891552047011663,35.050592412639055,27.05496372589071,6.957990946201587,73.34817894952256,18.179286039108685,5
GNN+LSTM(20),0.7961971350613916,0.4312747756574938,35.491081682298535,28.060478916079656,7.609422729198583,73.1793081989909,18.095725329695316,5
GNN+LSTM(30),0.7727148703956344,0.3941694450114966,35.8044610439408,28.84813800374873,8.160189025886712,73.15675497667968,18.1406321055025,5
GNN+Trans(3),0.8205036380172805,0.47696348423033974,35.03623250717655,27.002834502673238,7.3937977536692845,73.62831883674181,18.171896316507503,5
GNN+Trans(10),0.8168144611186903,0.4692060986582058,35.15436885947734,27.39733774308587,7.563728249956663,73.28577854522955,18.14574806730332,5
GNN+Trans(20),0.7918087767166894,0.4267814846943551,35.424837927629405,28.00730945136525,8.321926817670635,73.21372737825322,18.143474306502956,5
GNN+Trans(30),0.7477773988176444,0.34824871975816385,36.230109303958024,29.461337909061754,8.925945397505386,73.01006952606829,18.21566621191451,5
Random,0.6479890604890605,0.12256757353040862,53.28970725790364,36.16347450454316,0.008061901533976996,80.18952780945101,36.90958815958816,8
All-Cloud,0.1947018447018447,-0.8556042437107289,112.47039703980923,116.23104765773095,0.0008960743924160978,0.0,100.0,8
All-Local,0.49791934791934794,-0.24713779471762087,78.05169262110479,45.2655483259496,0.14795605356935673,32.04408529481217,65.58129558129558,8
Lowest Utilization First,0.701994851994852,0.23559460485016875,47.86801839809551,34.55242462696291,0.15839853546538613,84.56283768461826,31.186722436722437,8
GNN,0.7278796653796654,0.2776744418371055,47.01597077593197,33.76066117112158,4.912936583909289,83.62878239337924,30.5496567996568,8
GNN+LSTM(3),0.7509223509223509,0.3181914879887059,46.76556436678195,32.90073417287809,7.033004580726443,83.53720006313058,30.615079365079367,8
GNN+LSTM(10),0.753490990990991,0.3222003637724736,46.79070095881081,33.03117750700236,7.2655054951164155,83.34286806311445,30.586121836121837,8
GNN+LSTM(20),0.7219701844701845,0.27027745685323185,47.142837539242755,34.036367959478156,7.913215234012677,83.81429776073382,30.679429429429426,8
GNN+LSTM(30),0.7521610896610896,0.3196660761077381,46.82593156974835,32.992127484773015,8.62973172973533,83.71343574021675,30.595774345774345,8
GNN+Trans(3),0.7529654654654655,0.3210832072924226,46.745616629310284,33.023463441221274,7.7559657180733765,83.64464794395894,30.603281853281857,8
GNN+Trans(10),0.7526598026598027,0.3201645856421974,46.84003600956768,33.032296419058845,7.812138052009196,83.41370787122165,30.633848133848137,8
GNN+Trans(20),0.7534051909051909,0.32249008227125187,46.76670517211426,32.93314645228146,8.763846152844422,83.38424333481301,30.612934362934364,8
GNN+Trans(30),0.7066977691977692,0.24202801914691546,47.38351815637951,34.72118580309092,9.29851492987534,83.44948553544282,30.625268125268125,8
