Model,Success Rate,Avg Reward,Avg Latency All (ms),Avg Latency Success (ms),Processing Time (ms),Resource Utilization (%),Cloud Usage (%)
Random,0.7278535698044566,0.2905295834656102,42.2990238228028,29.884485767239788,0.008301509407879604,68.87839277924942,25.07844474761255
All-Cloud,0.19470782173715326,-0.8558642720046212,112.59438728684243,116.43272387601628,0.000903984805354751,0.0,100.0
All-Local,0.5552239654388358,-0.132994819108878,71.1192849676064,39.72088500607127,0.15113258725027973,27.816554415238098,58.524897680763985
Lowest Utilization First,0.7884095043201456,0.424747590894873,35.750469540739296,28.05659932090877,0.16126287232859127,74.53672344526244,18.16393815370623
GNN,0.7944918144611187,0.43033943043652234,35.4858848237871,28.112054175177306,4.756918035891448,73.11974761386243,18.15825375170532
GNN+LSTM(3),0.8009777171441564,0.4401026268163319,35.439136667382044,27.919690136587622,6.665977347759075,73.11424790969924,18.1031150522965
GNN+LSTM(10),0.8284674852205548,0.4891552047011663,35.050592412639055,27.05496372589071,6.957990946201587,73.34817894952256,18.179286039108685
GNN+LSTM(20),0.7961971350613916,0.4312747756574938,35.491081682298535,28.060478916079656,7.609422729198583,73.1793081989909,18.095725329695316
GNN+LSTM(30),0.7727148703956344,0.3941694450114966,35.8044610439408,28.84813800374873,8.160189025886712,73.15675497667968,18.1406321055025
GNN+Trans(3),0.8205036380172805,0.47696348423033974,35.03623250717655,27.002834502673238,7.3937977536692845,73.62831883674181,18.171896316507503
GNN+Trans(10),0.8168144611186903,0.4692060986582058,35.15436885947734,27.39733774308587,7.563728249956663,73.28577854522955,18.14574806730332
GNN+Trans(20),0.7918087767166894,0.4267814846943551,35.424837927629405,28.00730945136525,8.321926817670635,73.21372737825322,18.143474306502956
GNN+Trans(30),0.7477773988176444,0.34824871975816385,36.230109303958024,29.461337909061754,8.925945397505386,73.01006952606829,18.21566621191451
