Model,Success Rate,Avg Reward,Avg Latency All (ms),Avg Latency Success (ms),Processing Time (ms),Resource Utilization (%),Cloud Usage (%)
Random,0.7278535698044566,0.2905295834656102,42.2990238228028,29.884485767239788,0.013803344740006749,68.87839277924942,25.07844474761255
All-Cloud,0.19470782173715326,-0.8558642720046212,112.59438728684243,116.43272387601628,0.0015404778428921215,0.0,100.0
All-Local,0.5552239654388358,-0.132994819108878,71.1192849676064,39.72088500607127,0.2460296002774414,27.816554415238098,58.524897680763985
Lowest Utilization First,0.7884095043201456,0.424747590894873,35.750469540739296,28.05659932090877,0.2634471982866593,74.53672344526244,18.16393815370623
GNN,0.7944974988631196,0.4303481209249097,35.48583874014353,28.11188787298087,4.799873941917212,73.11974761386243,18.15825375170532
GNN+LSTM(3),0.8009777171441564,0.4401026268163319,35.439136667382044,27.919690136587622,7.172769542551409,73.11424790969924,18.1031150522965
GNN+LSTM(10),0.8283879035925421,0.4890201354237782,35.0526344229491,27.058886012116783,7.961729074023213,73.34791804508897,18.179286039108685
GNN+LSTM(20),0.7961971350613916,0.4312747756574938,35.491081682298535,28.060478916079656,9.31564724922397,73.1793081989909,18.095725329695316
GNN+LSTM(30),0.7727148703956344,0.3941694450114966,35.8044610439408,28.84813800374873,10.543827886687673,73.15675497667968,18.1406321055025
GNN+Trans(3),0.8205036380172805,0.47696348423033974,35.03623250717655,27.002834502673238,8.637457061431906,73.62831883674181,18.171896316507503
GNN+Trans(10),0.816831514324693,0.4692320868776484,35.15421764305816,27.39714085475391,9.523744692093354,73.28776394677303,18.14574806730332
GNN+Trans(20),0.7918087767166894,0.4267814846943551,35.424837927629405,28.00730945136525,10.762385391766182,73.21372737825322,18.143474306502956
GNN+Trans(30),0.7477262391996362,0.34816693222883743,36.23195632167255,29.46155848360181,12.12429157735652,73.01166842370522,18.21907685311505
