Model,Success Rate,Avg Reward,Avg Latency All (ms),Avg Latency Success (ms),Processing Time (ms),Resource Utilization (%),Cloud Usage (%),rate
Random,0.8310305452469312,0.4212456943982983,26.267133774363252,22.184079733870032,0.008878536371377546,20.414956979930565,6.480159862974594,1
All-Cloud,0.19577504995717956,-0.8553485491685757,113.90904365721944,118.03981312741357,0.0010822284163797102,0.0,100.0,1
All-Local,0.8426491578646874,0.45488506375165494,33.63499284363109,20.67190921058663,0.1259047203053075,16.089220215075073,19.725949186411647,1
Lowest Utilization First,0.8799600342563517,0.525231316457511,19.966851068567227,20.11927061522389,0.13975380421909916,22.131238331785436,0.0,1
GNN,0.9746502997430774,0.7136799346230638,16.0478333883562,16.0072368453273,3.655425820934613,22.13023854797192,0.005709391949757351,1
GNN+LSTM(3),0.974022266628604,0.69400813422922,17.010365548496633,17.019601487735095,5.181844677545327,22.13123833178543,0.0,1
GNN+LSTM(5),0.9752783328575507,0.7076176003147451,17.3062157500532,17.32988893368275,5.344946296630911,22.130814615857947,0.0,1
GNN+LSTM(10),0.9646874107907508,0.679883681484925,17.055085971749882,17.08135492230883,5.696477646355353,22.128920419291426,0.0,1
GNN+LSTM(20),0.9706537253782472,0.6986047810275307,17.077975505112665,17.078571657763344,6.422510529598984,22.12272010200554,0.0,1
GNN+LSTM(30),0.9740793605481016,0.697948225305491,16.435074502306144,16.362225661863512,7.2473804303451566,22.121410290895017,0.0,1
GNN+Trans(3),0.9780759349129318,0.72672968206265,16.18160179552436,16.149757352012653,6.30544090216547,22.131238331785436,0.0,1
GNN+Trans(5),0.9792178133028833,0.7264514583870731,16.30640870752713,16.285439343019018,6.460344631468403,22.130814615857947,0.0,1
GNN+Trans(10),0.9793320011418783,0.73102636285265,16.255511924466038,16.233568361862144,6.840590691518824,22.12892041929143,0.0,1
GNN+Trans(20),0.9766485869254924,0.7257314304807051,16.17879272225865,16.166247140015056,7.648583782968132,22.122720102005538,0.0,1
GNN+Trans(30),0.9785897801884099,0.7241393994241677,16.401279687018583,16.382279293897163,8.452054013397365,22.119847427131393,0.0028546959748786756,1
Random,0.7524048324595396,0.30582114288225815,38.58333356502191,28.15758313994596,0.008257918513280426,76.85453504687797,20.366993389560065,5
All-Cloud,0.19505356735810347,-0.8556973360536717,113.16461406599497,117.13088368776107,0.0010263846462398448,0.0,100.0,5
All-Local,0.5772053795304308,-0.07633622937688148,68.66951490939593,38.00075884441835,0.12662329759634733,31.80375167409546,55.50490084340096,5
Lowest Utilization First,0.8147025302028721,0.3968524476480868,31.490736209528844,26.397556011028165,0.13769033261141092,83.3401382842698,12.860724868930932,5
GNN,0.9263733758832915,0.5924846951470935,29.469297555653934,27.003577326743862,3.3591885487365376,81.05069631757864,11.942101664007295,5
GNN+LSTM(3),0.9497378618646,0.6540148611845278,30.38757281028586,29.219774603525796,4.726809261870705,76.12518070062278,12.947344426715295,5
GNN+LSTM(5),0.9463642580351037,0.6473876381755742,30.332701403667006,29.19754526311943,4.909430833837832,75.9715590993774,13.0635969911101,5
GNN+LSTM(10),0.9467061773421472,0.6586870049211689,30.565335659203345,29.97135001890185,5.217871014882199,74.2529651981652,13.289263733758833,5
GNN+LSTM(20),0.9367905174378847,0.6399327969631304,31.143223887696724,29.63979169911713,5.815602995579243,74.5651579759338,13.663095509459765,5
GNN+LSTM(30),0.9324139503077273,0.6097605876983373,29.584056333717466,27.16046857939248,6.53227920653963,79.69892002446181,12.078869386824708,5
GNN+Trans(3),0.9550490084340095,0.6553032142661347,30.130821817510256,28.620893178659237,5.691427181270853,77.67040715703423,12.666970594939594,5
GNN+Trans(5),0.9586505584682015,0.664274622024088,29.61238963593415,28.217352109198902,5.8487335098124,78.13861822422018,12.318212901755187,5
GNN+Trans(10),0.9186915887850468,0.5989282167562592,31.993851291814423,27.975659540491034,6.21348186046843,75.91841606353942,14.340095737405973,5
GNN+Trans(20),0.9605197173467062,0.6863816455162143,30.76994265421472,29.82511751272817,6.975144189991548,73.8491548230518,13.66081604741281,5
GNN+Trans(30),0.9610439936175063,0.676814281743699,29.990280370601393,28.897471770740676,7.643858691350947,76.82744363039363,12.664691132892639,5
Random,0.6656263360410432,0.12799068157017152,51.47753318267916,35.84937117380552,0.008278093872135548,85.61273006274118,34.211201368106025,8
All-Cloud,0.1953398888413852,-0.8550299603805963,113.08913767227291,117.01974312115387,0.0010527214875533165,0.0,100.0,8
All-Local,0.5165027789653698,-0.20822850747398616,76.38755579967778,43.88106793595844,0.12952804871225215,36.745049017854505,63.29841812740488,8
Lowest Utilization First,0.7179563916203506,0.21908591214132175,46.37206207761224,34.661078833884254,0.13975386132333667,88.59597763077909,28.849935870029924,8
GNN,0.8838392475416845,0.5238977513394076,41.28961377377623,36.15768901905589,3.5111206522758516,85.16292443328678,24.521162890123986,8
GNN+LSTM(3),0.8967507481829842,0.5472149301966541,41.626365836551265,36.46007353469092,4.908786909658718,82.82049089744548,24.841812740487388,8
GNN+LSTM(5),0.8953398888413852,0.537444615624906,41.59791072620083,36.916805154422576,5.067608075143945,84.45327013866068,24.655835827276615,8
GNN+LSTM(10),0.8992518170158187,0.5610601925310522,41.501594430022074,37.30947949104778,5.377653874409102,82.08192780353005,24.70072680632749,8
GNN+LSTM(20),0.8967721248396751,0.5538334839262932,41.129533225062225,36.835061536183986,6.063817422988324,83.40389596820546,24.36725096194955,8
GNN+LSTM(30),0.8936938862761864,0.5408447250343773,41.188924566476736,36.645002261863056,6.740825198664019,84.89769594404038,24.318084651560497,8
GNN+Trans(3),0.8853783668234289,0.5177876128221405,41.33226060192816,35.45726432868359,5.727836024613399,85.76717242732343,24.625908507909365,8
GNN+Trans(5),0.9093843522873023,0.5739443776250063,41.431451798873525,37.04463959418501,5.807096889866066,82.5900379949045,24.56819153484395,8
GNN+Trans(10),0.9092774690038478,0.5753707879638494,41.51203436708896,37.41027111729186,6.030546823797597,82.27608639376614,24.66866182129115,8
GNN+Trans(20),0.8891834117144078,0.5225553339380398,41.53283616879929,35.47912845280657,6.925125675560216,86.08611867219874,24.752030782385635,8
GNN+Trans(30),0.878516460025652,0.5273322804470961,43.563217931824106,37.527819947072906,7.591469143129098,77.3599034329904,26.571184266780673,8
