Model,Success Rate,Avg Reward,Avg Latency All (ms),Avg Latency Success (ms),Processing Time (ms),Resource Utilization (%),Cloud Usage (%)
Random,0.8310305452469312,0.4212456943982983,26.267133774363252,22.184079733870032,0.008878536371377546,20.414956979930565,6.480159862974594
All-Cloud,0.19577504995717956,-0.8553485491685757,113.90904365721944,118.03981312741357,0.0010822284163797102,0.0,100.0
All-Local,0.8426491578646874,0.45488506375165494,33.63499284363109,20.67190921058663,0.1259047203053075,16.089220215075073,19.725949186411647
Lowest Utilization First,0.8799600342563517,0.525231316457511,19.966851068567227,20.11927061522389,0.13975380421909916,22.131238331785436,0.0
GNN,0.9746502997430774,0.7136799346230638,16.0478333883562,16.0072368453273,3.655425820934613,22.13023854797192,0.005709391949757351
GNN+LSTM(3),0.974022266628604,0.69400813422922,17.010365548496633,17.019601487735095,5.181844677545327,22.13123833178543,0.0
GNN+LSTM(5),0.9752783328575507,0.7076176003147451,17.3062157500532,17.32988893368275,5.344946296630911,22.130814615857947,0.0
GNN+LSTM(10),0.9646874107907508,0.679883681484925,17.055085971749882,17.08135492230883,5.696477646355353,22.128920419291426,0.0
GNN+LSTM(20),0.9706537253782472,0.6986047810275307,17.077975505112665,17.078571657763344,6.422510529598984,22.12272010200554,0.0
GNN+LSTM(30),0.9740793605481016,0.697948225305491,16.435074502306144,16.362225661863512,7.2473804303451566,22.121410290895017,0.0
GNN+Trans(3),0.9780759349129318,0.72672968206265,16.18160179552436,16.149757352012653,6.30544090216547,22.131238331785436,0.0
GNN+Trans(5),0.9792178133028833,0.7264514583870731,16.30640870752713,16.285439343019018,6.460344631468403,22.130814615857947,0.0
GNN+Trans(10),0.9793320011418783,0.73102636285265,16.255511924466038,16.233568361862144,6.840590691518824,22.12892041929143,0.0
GNN+Trans(20),0.9766485869254924,0.7257314304807051,16.17879272225865,16.166247140015056,7.648583782968132,22.122720102005538,0.0
GNN+Trans(30),0.9785897801884099,0.7241393994241677,16.401279687018583,16.382279293897163,8.452054013397365,22.119847427131393,0.0028546959748786756
