Model,Category,Success_Rate,Avg_Latency_All,Avg_Latency_Success,Count
All-Cloud,high_latency_tolerance,0.6642210983688297,116.61617288184742,116.99821069911043,14039
All-Cloud,low_latency,0.0,113.5253996368476,,24203
All-Cloud,ultra_low_latency,0.0,106.78363774647654,,9563
All-Local,high_latency_tolerance,0.7331006481943159,98.70891453011296,92.29280338607443,14039
All-Local,low_latency,0.3022352600917242,83.20271236667449,12.245851308405864,24203
All-Local,ultra_low_latency,0.7415037122241974,26.181316299231963,6.0262852800496765,9563
GNN,high_latency_tolerance,0.9206496189187264,84.99355943479262,82.28124408816952,14039
GNN,low_latency,0.8836921042845928,28.62982389892326,18.53621502103819,24203
GNN,ultra_low_latency,0.8294468263097354,9.098841625057025,8.338836567482117,9563
GNN+LSTM(10),high_latency_tolerance,0.9301232281501531,88.24849931697449,86.12413602418525,14039
GNN+LSTM(10),low_latency,0.9057968020493328,27.16325186885907,18.80934061098718,24203
GNN+LSTM(10),ultra_low_latency,0.8371849837916971,9.016877683424324,8.146251181842604,9563
GNN+LSTM(20),high_latency_tolerance,0.9299095377163615,86.85623625727604,84.62644257652795,14039
GNN+LSTM(20),low_latency,0.9026980126430608,27.277602811427684,18.666601972039963,24203
GNN+LSTM(20),ultra_low_latency,0.832583917180801,8.88509060358451,8.125325253065247,9563
GNN+LSTM(3),high_latency_tolerance,0.9184414844362134,86.94123532960242,84.32317744340082,14039
GNN+LSTM(3),low_latency,0.8979052183613602,27.9770669023378,18.717606908869595,24203
GNN+LSTM(3),ultra_low_latency,0.8615497228903064,9.517395013305753,8.189612954100676,9563
GNN+LSTM(30),high_latency_tolerance,0.9276301730892513,85.91656497214068,83.51867681808656,14039
GNN+LSTM(30),low_latency,0.9002602983101269,27.735039861190515,18.861273321211577,24203
GNN+LSTM(30),ultra_low_latency,0.8276691414827982,9.43428517695625,8.273604330905007,9563
GNN+LSTM(5),high_latency_tolerance,0.9306930693069307,86.5000581219464,84.27176228678574,14039
GNN+LSTM(5),low_latency,0.8920381770854853,28.167760954629898,18.879352932859586,24203
GNN+LSTM(5),ultra_low_latency,0.8509881836243857,9.546718431291982,8.591170340809942,9563
GNN+Trans(10),high_latency_tolerance,0.9399529881045658,88.25993818185395,86.4468040475316,14039
GNN+Trans(10),low_latency,0.9064578771226708,27.189583223145817,18.91363994859927,24203
GNN+Trans(10),ultra_low_latency,0.8710655651992053,9.022844497304872,8.243332393255942,9563
GNN+Trans(20),high_latency_tolerance,0.9156635087969228,83.8410714939615,80.84204698425349,14039
GNN+Trans(20),low_latency,0.8780729661612197,29.73878978367617,18.754012068637635,24203
GNN+Trans(20),ultra_low_latency,0.8785945832897626,9.172337382407042,8.207813408611473,9563
GNN+Trans(3),high_latency_tolerance,0.9168031911104779,83.6743132394801,80.69007133456854,14039
GNN+Trans(3),low_latency,0.8735280750320208,29.59736070028068,18.610227755042484,24203
GNN+Trans(3),ultra_low_latency,0.8690787409808638,8.781202024887637,8.105450310160426,9563
GNN+Trans(30),high_latency_tolerance,0.881116888667284,91.5128260637594,88.19652653424505,14039
GNN+Trans(30),low_latency,0.889972317481304,29.019671360207177,19.27552901580294,24203
GNN+Trans(30),ultra_low_latency,0.8474328139705114,9.701176976817155,8.477047300102337,9563
GNN+Trans(5),high_latency_tolerance,0.9296246171379728,88.08246722521112,85.92204401134455,14039
GNN+Trans(5),low_latency,0.9127794075114655,26.982393189344958,18.961862606115353,24203
GNN+Trans(5),ultra_low_latency,0.8719021227648227,9.372133183377244,8.26383268696343,9563
Lowest Utilization First,high_latency_tolerance,0.8360994372818576,76.18398788509282,68.28762037019365,14039
Lowest Utilization First,low_latency,0.7410651572119159,42.30800435662937,19.165798529656488,24203
Lowest Utilization First,ultra_low_latency,0.4869810728850779,12.678054354684408,9.36416562743871,9563
Random,high_latency_tolerance,0.8290476529667355,76.33113200095453,68.09620658904308,14039
Random,low_latency,0.6645870346651241,49.54658859671597,19.2107035630227,24203
Random,ultra_low_latency,0.42873575237896056,19.668654542001335,9.389058554440657,9563
