Model,Success Rate,Avg Reward,Avg Latency All (ms),Avg Latency Success (ms),Processing Time (ms),Resource Utilization (%),Cloud Usage (%),rate
Random,0.8300973654066438,0.4274512408866486,26.209305228159504,22.00116811289481,0.008951566200212651,20.115503853018858,6.912943871706759,1
All-Cloud,0.19868270332187857,-0.8505994494233861,113.60013441864234,117.7226488857692,0.0010020407887531993,0.0,100.0,1
All-Local,0.8081615120274914,0.381170982471183,38.60586179550374,22.8492321989403,0.14041109183399947,14.373616099804593,25.005727376861397,1
Lowest Utilization First,0.8791809851088201,0.533709527076737,19.65534784817335,19.858346350597596,0.1559754212697347,21.942209657154137,0.0,1
GNN,0.9750859106529209,0.7232015492469714,16.201233448429072,16.22032998836538,3.829521917122473,21.942187383559066,0.011454753722794959,1
GNN+LSTM(3),0.9754868270332188,0.7130646784332473,16.933467503680856,16.915476786913707,5.407892735963015,21.94186739208129,0.0,1
GNN+LSTM(5),0.9676116838487973,0.7028248881610409,17.349676215418278,17.41546672459262,5.5419436913039135,21.94186739208128,0.0,1
GNN+LSTM(10),0.965836197021764,0.693099486207069,16.82692194218577,16.867937162825232,5.7571306329685665,21.92540935782278,0.020045819014891178,1
GNN+LSTM(20),0.9678121420389462,0.7096145597695007,17.054906496543115,17.115039645362014,6.312166442849246,21.93081715618103,0.0,1
GNN+LSTM(30),0.9666093928980527,0.7029179186333413,16.98319404498832,17.039988344979253,6.897402751896389,21.926245212459058,0.0,1
GNN+Trans(3),0.9802405498281787,0.7264181422039826,17.486854975034618,17.497139349155052,6.134822756427534,21.94186739208129,0.0,1
GNN+Trans(5),0.979524627720504,0.7362246428278524,16.375455220991782,16.399940113971034,6.317945075608611,21.940536464372766,0.0028636884306987398,1
GNN+Trans(10),0.9791809851088201,0.7360287466598001,16.208031576078973,16.211474291786082,6.487505904314581,21.936405436486574,0.0,1
GNN+Trans(20),0.979438717067583,0.7325636206580367,16.59995599668408,16.617884066709124,7.12863505910762,21.930817156181025,0.0,1
GNN+Trans(30),0.9789518900343642,0.7279246317240096,16.79763293062621,16.81751576460872,7.768193354994435,21.926245212459065,0.0,1
Random,0.7312912776132999,0.2631572911216676,41.92717932314421,29.822459797331966,0.008613980188371922,70.03780159276165,24.661808244135734,5
All-Cloud,0.19874743794124344,-0.8493930778535931,112.60942516431142,116.50427567640948,0.0010113595585919707,0.0,100.0,5
All-Local,0.5565930312001822,-0.1234238239103548,71.17467226064483,40.105812057004165,0.14135113231578142,28.08785442146022,58.56524709633341,5
Lowest Utilization First,0.7934183557276246,0.36581893016196676,35.332119196564015,28.193983669163377,0.15394013825540145,75.32731161961522,17.6907310407652,5
GNN,0.913026645411068,0.6066731257999258,36.778606856474916,34.39585014740765,3.8652478576222307,58.225129764083796,19.817809155089957,5
GNN+LSTM(3),0.9322933272603051,0.6355472534572906,32.63872404018031,30.55061803492084,5.377745774959111,69.68882537630768,16.09200637667957,5
GNN+LSTM(5),0.9145752675928035,0.5855622761197414,32.44983128549317,28.838239657406472,5.5588690573792885,72.53355577927763,15.816442723753132,5
GNN+LSTM(10),0.9315190161694374,0.6288882615686439,32.95250810541312,30.750123459687057,5.763825580759381,69.38503904491407,16.542928717831927,5
GNN+LSTM(20),0.9281940332498292,0.6197392787895378,32.5352095844103,30.342719692275143,6.318246544534105,70.54876653502049,16.0054657253473,5
GNN+LSTM(30),0.9373035754953314,0.6442635779160262,33.24569242175185,31.41488948080979,6.983372628132266,68.87986206525865,16.47688453655204,5
GNN+Trans(3),0.9348439990890458,0.6266487703124898,33.13282692907701,30.468641765372574,6.158219467559237,69.66078741285135,16.574812115691188,5
GNN+Trans(5),0.9467319517194261,0.6586724072877236,32.66207053642342,30.788041254095397,6.288172562880876,69.3131843558494,16.315190161694375,5
GNN+Trans(10),0.9440901844682305,0.6492773574946377,32.40763254844905,30.070342226431887,6.470751404029257,70.70477105369632,15.754953313595992,5
GNN+Trans(20),0.9304714188112048,0.6125266867389513,32.31262728065696,29.04195878640311,7.113077667139028,72.34248055638743,15.77089501252562,5
GNN+Trans(30),0.9306991573673423,0.6203905139126638,32.8392247608663,29.662854458621663,7.789256919681876,70.33782545403244,16.474607150990664,5
Random,0.6526601520086862,0.10225675259803371,52.97252932587573,36.5717915584598,0.008494002293556702,80.97728534113928,36.48642779587405,8
All-Cloud,0.19952225841476656,-0.8476805150480712,112.52980985855982,116.35139744071937,0.001017387216176583,0.0,100.0,8
All-Local,0.49791530944625406,-0.24905333915902506,78.403859804271,46.06025856929871,0.1404703297651293,32.31551749822552,65.87404994571119,8
Lowest Utilization First,0.7077090119435396,0.19875892022020034,47.59074182868651,34.900943604917096,0.15163600768380264,85.32622159421781,30.831704668838217,8
