request_idx,reward,latency_all,latency_success,processing_time,success
30,-1.1556487988575386,111.78493720024468,,9.059906005859375e-07,0.0
31,-0.8468628074200033,112.92377783451863,115.03309479509366,9.059906005859375e-07,0.2
32,-1.0054684966941263,114.00812497507896,109.2727967715052,1.0251998901367187e-06,0.1
33,-0.8186631617954439,113.07976008396838,113.63712930949609,1.0251998901367187e-06,0.2
34,-0.8520000000000001,111.24240249885013,117.1224512540578,9.5367431640625e-07,0.2
35,-0.6880000000000002,114.04668088607954,122.1655734459713,8.344650268554688e-07,0.3
36,-0.8463872077310398,114.52746549513165,115.30712303913069,9.775161743164062e-07,0.2
37,-0.8452878238100962,113.37551804042032,120.46071355705075,1.0251998901367187e-06,0.2
38,-0.6879161013300183,117.17797777126195,119.10163305753854,9.5367431640625e-07,0.3
39,-0.524957069907446,114.69934033948437,121.25537269249743,1.0251998901367187e-06,0.4
40,-0.9943104119585012,113.80983637042311,119.827426315252,1.0013580322265625e-06,0.1
41,-0.3405194118090452,116.04185602997418,116.42966991289339,9.775161743164062e-07,0.5
42,-0.8520000000000001,116.26892595085732,121.16102231364205,1.0251998901367187e-06,0.2
43,-0.8520000000000001,114.11801042909694,110.1920271166367,1.0728836059570312e-06,0.2
44,-1.016,114.11023716760012,122.27708974300874,8.821487426757813e-07,0.1
45,-0.8520000000000001,116.12495101198529,119.4701051158629,1.0013580322265625e-06,0.2
46,-0.524,113.14128654231149,121.02017116687243,1.0013580322265625e-06,0.4
47,-1.016,117.05449291257648,119.25537349862589,9.775161743164062e-07,0.1
48,-0.844698406377846,114.8558979445352,118.98105109234001,9.775161743164062e-07,0.2
49,-0.8481607892288112,117.96397118753615,122.48260457043642,9.775161743164062e-07,0.2
50,-0.8323735423115872,114.73789333447603,121.72512409518566,9.775161743164062e-07,0.2
51,-1.016,118.15893466148978,117.17777865561452,1.049041748046875e-06,0.1
52,-0.6880000000000001,116.21986443543581,116.82093918654243,1.0251998901367187e-06,0.3
53,-0.6880000000000001,115.70888469966863,118.35177204373754,1.0251998901367187e-06,0.3
54,-1.1800000000000002,113.87436780666056,,9.298324584960937e-07,0.0
55,-0.5100534226716401,113.34919785948095,119.30134908782705,9.775161743164062e-07,0.4
56,-1.016,111.685976956775,115.43723188735956,9.298324584960937e-07,0.1
57,-0.852,111.14757191497544,116.7661282050091,9.059906005859375e-07,0.2
58,-0.6880000000000001,113.69149601879205,118.02093731532891,1.0013580322265625e-06,0.3
59,-0.6880000000000001,113.47503462450122,116.89585449477141,8.344650268554688e-07,0.3
60,-0.8520000000000001,115.10345612072919,118.70951649071475,9.5367431640625e-07,0.2
61,-0.6880000000000001,113.58243514804516,115.4278002436392,9.5367431640625e-07,0.3
62,-0.5307978526035859,114.69901529484336,119.27152840357357,1.0967254638671874e-06,0.4
63,-0.8520000000000001,116.67425724160262,117.63964530959007,9.5367431640625e-07,0.2
64,-1.016,113.12920466597647,110.62962744308199,1.049041748046875e-06,0.1
65,-0.5240000000000001,113.30964832750769,116.12250334624042,1.1682510375976563e-06,0.4
66,-1.016,112.52457926005657,117.35085113692737,1.0728836059570312e-06,0.1
67,-1.016,110.13018913724095,111.19983386984399,1.2159347534179687e-06,0.1
68,-0.852,110.73348999138473,114.45426036867745,1.0967254638671874e-06,0.2
69,-0.8509926797926575,110.3155205409555,111.35029141250183,1.0728836059570312e-06,0.2
70,-0.6880000000000001,114.657868891074,120.10643725596277,9.775161743164062e-07,0.3
71,-0.983492093543078,114.6709359334429,117.53482677182264,9.5367431640625e-07,0.1
72,-1.1800000000000002,113.58809880944094,,1.0251998901367187e-06,0.0
73,-1.0069846922237944,115.55688673113202,120.52280560735701,9.5367431640625e-07,0.1
74,-0.8386683298001245,111.3192167779609,114.99477719267318,1.049041748046875e-06,0.2
75,-0.8403049982752684,110.54996723608092,109.7271804627058,9.298324584960937e-07,0.2
76,-1.016,111.40107325189933,113.18712149919934,1.1205673217773438e-06,0.1
77,-0.6880000000000001,115.80466334136447,119.9529909934728,9.059906005859375e-07,0.3
78,-0.5122831049717396,115.72869754953618,116.88660207517836,9.775161743164062e-07,0.4
79,-0.6880000000000001,111.8901949972219,113.99765178712279,1.0013580322265625e-06,0.3
80,-0.6846191955114578,113.12088633948144,115.81947861797057,9.298324584960937e-07,0.3
81,-1.1769030506202403,112.63796238284051,,1.049041748046875e-06,0.0
82,-0.6752959274317247,113.06605457130384,117.38705829881634,9.775161743164062e-07,0.3
83,-0.6903024798349595,114.85112888271894,120.00710523663446,1.0013580322265625e-06,0.3
84,-0.6839825242699504,115.93547662008783,117.30353992358027,1.0251998901367187e-06,0.3
85,-1.177386131268847,113.32411127765742,,9.059906005859375e-07,0.0
86,-0.8381226643619339,116.25352549148765,120.53501714850029,9.5367431640625e-07,0.2
87,-0.9978894527654854,112.66170252970247,115.61134802298311,1.0728836059570312e-06,0.1
88,-0.6837041843925933,115.89713433196388,119.53737246588166,1.0251998901367187e-06,0.3
89,-0.690155292810579,114.18622054721189,121.29313883142191,9.298324584960937e-07,0.3
90,-1.016263371940075,114.10543971570364,130.1646074625468,9.775161743164062e-07,0.1
91,-0.524,116.75306636212856,118.19512978916501,8.821487426757813e-07,0.4
92,-0.8365273972623637,114.32514471844613,122.19273468182948,9.775161743164062e-07,0.2
93,-1.016,114.67897543207519,118.19540965227347,8.821487426757813e-07,0.1
94,-1.016,114.78268860787018,115.05418971197568,8.106231689453125e-07,0.1
95,-1.0104187218975744,113.15315580965459,119.51538129890467,9.5367431640625e-07,0.1
96,-0.5240000000000002,116.22358518510885,120.16000270261561,1.0251998901367187e-06,0.4
97,-0.6880000000000001,114.00182487065221,119.28582070009308,1.049041748046875e-06,0.3
98,-0.524,113.41060380059942,113.60258155754752,9.5367431640625e-07,0.4
99,-1.1800000000000002,116.83126475296906,,9.775161743164062e-07,0.0
100,-0.6880000000000001,116.56175640336592,117.18783610590401,1.0251998901367187e-06,0.3
101,-0.9939807236263606,114.0406541625257,121.32345431050635,1.049041748046875e-06,0.1
102,-1.016,110.77559308310364,111.00876956332354,9.298324584960937e-07,0.1
103,-1.1731997840432777,111.1998620303943,,8.821487426757813e-07,0.0
104,-0.6880000000000002,113.57358748897073,117.64221114956753,8.821487426757813e-07,0.3
105,-0.8520000000000001,112.59479733644942,120.63561804513884,1.0728836059570312e-06,0.2
106,-0.6880000000000001,114.64853803718697,111.44300284962821,1.049041748046875e-06,0.3
107,-1.1800000000000002,117.38421759927493,,9.298324584960937e-07,0.0
108,-0.8413966596343713,114.71422463627871,124.6721008083394,9.5367431640625e-07,0.2
109,-1.1800000000000002,114.51720152372786,,9.298324584960937e-07,0.0
110,-0.8520000000000001,113.44569100090746,116.89857058138914,1.049041748046875e-06,0.2
111,-0.6880000000000001,114.10785189229462,116.42133787660646,9.5367431640625e-07,0.3
112,-1.1800000000000002,115.07076635821643,,1.5497207641601562e-06,0.0
113,-1.0042539740197935,115.66740007758895,121.72640523277134,9.775161743164062e-07,0.1
114,-0.8532269936010021,112.62319608899843,126.1697230322926,8.821487426757813e-07,0.2
115,-0.8464020569833103,113.87783104477698,119.53529676311635,9.775161743164062e-07,0.2
116,-0.8520000000000001,114.04406195719018,120.82420894691238,9.298324584960937e-07,0.2
117,-0.5240000000000001,113.7778156139864,116.4496340407337,9.5367431640625e-07,0.4
118,-0.8465402437031614,114.28484129313588,119.14454568510182,9.5367431640625e-07,0.2
119,-1.0028509925795384,113.11524000619258,121.92870079499468,9.775161743164062e-07,0.1
120,-0.8520000000000001,114.57725651964431,116.25052151238819,9.059906005859375e-07,0.2
121,-1.00284815576951,113.40990639460195,110.73033912635209,9.298324584960937e-07,0.1
122,-0.6880000000000002,116.65549753346144,122.42669806703198,9.775161743164062e-07,0.3
123,-0.8457039287282564,113.42883824349822,113.9368696285919,2.5510787963867186e-06,0.2
124,-0.8439438739130131,113.10107332915163,118.6311272938535,9.775161743164062e-07,0.2
125,-1.0061353503330062,115.55209011182565,115.2902416486775,9.775161743164062e-07,0.1
126,-1.016,111.58292333152625,114.63811188233494,8.58306884765625e-07,0.1
127,-0.8273481380136228,110.37702476806507,113.81233837204599,1.049041748046875e-06,0.2
128,-0.8305350113398466,111.98003798590233,117.93625281247598,9.5367431640625e-07,0.2
129,-1.016,109.6370584781952,110.15389243273763,8.821487426757813e-07,0.1
130,-1.0081461829843608,112.98908456680797,119.2749606033417,1.1444091796875e-06,0.1
131,-0.8520000000000001,112.80092512494097,111.9569060971213,1.0251998901367187e-06,0.2
132,-0.6880000000000001,116.9021743446229,121.91726938381153,9.775161743164062e-07,0.3
133,-0.6881705992221981,116.91281059846096,123.33597486193376,1.0967254638671874e-06,0.3
134,-1.016,114.97309882231255,113.28114844801979,1.239776611328125e-06,0.1
135,-0.8520000000000001,114.34759142003263,117.21684395132046,1.049041748046875e-06,0.2
136,-0.6880000000000001,115.16422132841687,118.42004304627325,1.1444091796875e-06,0.3
137,-1.016,115.16655692809806,115.2118558271027,9.775161743164062e-07,0.1
138,-1.1800000000000002,113.29901101428717,,1.0728836059570312e-06,0.0
139,-0.8570066338598279,115.38512184077051,124.71612686120335,1.0013580322265625e-06,0.2
140,-1.016,115.86259073049868,115.89260544834326,1.049041748046875e-06,0.1
141,-0.8520000000000001,113.08921658290444,112.82822884673703,9.5367431640625e-07,0.2
142,-0.6880000000000001,117.07461047971836,117.88818307173769,1.0728836059570312e-06,0.3
143,-0.49294951028262773,117.22518464252792,121.36099658039896,9.775161743164062e-07,0.4
144,-0.6783541126585282,116.91412565740279,116.64434026657261,1.0013580322265625e-06,0.3
145,-0.6772562604567752,116.94263982909892,121.04042389990416,1.049041748046875e-06,0.3
146,-0.5240000000000002,115.6074851948662,119.3576039329109,9.775161743164062e-07,0.4
147,-0.6880000000000001,110.42453212808911,119.32592631675276,1.0013580322265625e-06,0.3
148,-1.1800000000000002,110.81444153234816,,1.0251998901367187e-06,0.0
149,-1.016,113.87316940658756,117.23591727990737,1.0251998901367187e-06,0.1
150,-0.84689341498009,114.16112175215156,123.49972163750977,9.5367431640625e-07,0.2
