Model,Category,Success_Rate,Avg_Latency_All,Avg_Latency_Success,Count
All-Cloud,high_latency_tolerance,0.6685302757509712,117.35558094170977,117.72971883969731,10553
All-Cloud,low_latency,0.0,114.12428611266958,,17824
All-Cloud,ultra_low_latency,0.0,106.79869728571697,,7161
All-Local,high_latency_tolerance,0.8865725386146119,54.179232983783116,46.21008069657338,10553
All-Local,low_latency,0.7348518850987432,40.291252001359,14.023285023609425,17824
All-Local,ultra_low_latency,0.8792068146906856,10.890304603130746,6.225687471079022,7161
GNN,high_latency_tolerance,1.0,21.95797314472848,21.95797314472848,10553
GNN,low_latency,0.9938846499102334,16.009789910710463,15.905496481707122,17824
GNN,ultra_low_latency,0.8914956011730205,8.213593537569704,7.617079583547681,7161
GNN+LSTM(10),high_latency_tolerance,1.0,22.832863234274487,22.832863234274487,10553
GNN+LSTM(10),low_latency,0.9915843806104129,16.442804594734323,16.295136293816554,17824
GNN+LSTM(10),ultra_low_latency,0.8518363357073034,8.946893046498355,8.21258073348854,7161
GNN+LSTM(20),high_latency_tolerance,1.0,24.482622126908353,24.482622126908353,10553
GNN+LSTM(20),low_latency,0.9939407540394973,15.925936345497648,15.80907259182844,17824
GNN+LSTM(20),ultra_low_latency,0.8554671135316296,8.947966635729191,8.218546879883084,7161
GNN+LSTM(3),high_latency_tolerance,1.0,23.288977658154632,23.288977658154632,10553
GNN+LSTM(3),low_latency,0.994109066427289,16.44427601944729,16.332015880234763,17824
GNN+LSTM(3),ultra_low_latency,0.8927524088814411,8.828309101782166,8.047811831367087,7161
GNN+LSTM(30),high_latency_tolerance,1.0,23.26194027619358,23.26194027619358,10553
GNN+LSTM(30),low_latency,0.9926503590664273,16.55186019895323,16.424100953137955,17824
GNN+LSTM(30),ultra_low_latency,0.8528138528138528,8.83095036102478,8.088684229494463,7161
GNN+LSTM(5),high_latency_tolerance,1.0,24.68169046825654,24.68169046825654,10553
GNN+LSTM(5),low_latency,0.9932675044883303,16.468087186119288,16.345255507794672,17824
GNN+LSTM(5),ultra_low_latency,0.8565842759391147,8.773471488023128,8.027427163106333,7161
GNN+Trans(10),high_latency_tolerance,1.0,22.605474387559536,22.605474387559536,10553
GNN+Trans(10),low_latency,0.9933236086175943,15.870686939266522,15.755269499745939,17824
GNN+Trans(10),ultra_low_latency,0.9130009775171065,7.6344257547728755,7.126048204245377,7161
GNN+Trans(20),high_latency_tolerance,1.0,23.597567548817054,23.597567548817054,10553
GNN+Trans(20),low_latency,0.9947262118491921,15.936594774438928,15.842772602104011,17824
GNN+Trans(20),ultra_low_latency,0.9110459433040078,7.956261145912492,7.440395889871671,7161
GNN+Trans(3),high_latency_tolerance,1.0,25.112251090136418,25.112251090136418,10553
GNN+Trans(3),low_latency,0.99483842010772,16.89046811336323,16.797205029403855,17824
GNN+Trans(3),ultra_low_latency,0.914676721128334,7.753542695867277,7.132469369332132,7161
GNN+Trans(30),high_latency_tolerance,1.0,23.607360550121395,23.607360550121395,10553
GNN+Trans(30),low_latency,0.9938285457809695,16.304945945228543,16.200835364531663,17824
GNN+Trans(30),ultra_low_latency,0.9109062980030722,8.01944286058854,7.529529318765855,7161
GNN+Trans(5),high_latency_tolerance,1.0,23.48078334159584,23.48078334159584,10553
GNN+Trans(5),low_latency,0.9945578994614004,15.72350402045404,15.627821729716636,17824
GNN+Trans(5),ultra_low_latency,0.9118838151096216,7.54921796323231,7.063631238670904,7161
Lowest Utilization First,high_latency_tolerance,1.0,23.53359811662245,23.53359811662245,10553
Lowest Utilization First,low_latency,0.9675718132854578,20.156772459015563,19.677396558170212,17824
Lowest Utilization First,ultra_low_latency,0.4823348694316436,12.730908344233494,9.553313962679923,7161
Random,high_latency_tolerance,0.9746043779020184,31.550420506044325,29.340943566110266,10553
Random,low_latency,0.9015372531418312,26.622631499887913,19.752946407783007,17824
Random,ultra_low_latency,0.43904482614160034,17.334624192590738,9.429747280391132,7161
