req_id,timestamp,position,compute_demand,max_latency,process_time,allocations,home_room,target_room,type,completed,total_latency,is_success,action,reward
REQ_2_a,0.09223464079824628,"(17.371910481612506, 71.8327371883457)",30.70276408568846,20,9.943010833189533,{'DCN_6': 30.70276408568846},ACN_0,DCN_6,adas,False,6.314359839956457,True,DCN_6,0.7371280320087086
REQ_3_i,0.18984570223217495,"(63.91066936119049, 39.11737335658144)",13.043385660327674,40,25.634273392851973,{'DCN_6': 13.043385660327674},ACN_0,DCN_6,infotainment,False,3.185428780157971,True,DCN_6,1.3629142439684059
REQ_4_a,0.2339913085681154,"(66.81560071205836, 46.41789865484228)",32.69431287215047,25,8.999105262811993,{'DCN_6': 32.69431287215047},ACN_1,DCN_6,adas,False,6.3918018932717215,True,DCN_6,0.7216396213456555
REQ_5_s,0.24860695406482153,"(63.94775943540763, 54.50167271516757)",20.0,20,1.999401396818593,{'DCN_6': 20.0},DCN_14,DCN_6,safety-critical,False,3.286739468453896,True,DCN_6,1.3426521063092207
REQ_6_i,0.5862491174908602,"(70.27478050054623, 61.57468814687887)",20.0,30,22.351182165680694,{'DCN_6': 20.0},ACN_1,DCN_6,infotainment,False,4.735185663166208,True,DCN_6,1.0529628673667584
REQ_7_s,1.0517793974298217,"(39.926231777716524, 68.3857898126109)",22.668841858786763,20,2.044105109794619,{'DCN_6': 22.668841858786763},ACN_0,DCN_6,safety-critical,False,4.229271736109061,True,DCN_6,1.1541456527781877
REQ_8_s,1.0868972258279335,"(60.37301615275055, 27.897092720363837)",20.0,15,1.9893051248520832,{'DCN_6': 20.0},DCN_10,DCN_6,safety-critical,False,4.139408626891642,True,DCN_6,1.1721182746216714
REQ_9_s,1.3130618492927515,"(16.776345064810396, 12.596412974924096)",20.0,15,1.8748696720279534,{'DCN_6': 20.0},ACN_0,DCN_6,safety-critical,False,6.1947319362898465,True,DCN_6,0.7610536127420306
REQ_10_a,1.3766455321136553,"(21.715617574759513, 3.0654188953119927)",30.07759517794699,20,10.921863800589174,{'cloud': 30.07759517794699},DCN_11,cloud,adas,False,5.046899662404661,True,DCN_6,-0.009379932480932274
REQ_11_i,1.4332310423698265,"(2.773655575124625, 96.73181834641652)",15.970750117824725,35,15.672693902602509,{'DCN_14': 15.970750117824725},ACN_0,DCN_14,infotainment,False,8.128619089494332,True,DCN_14,0.37427618210113334
REQ_12_a,1.8791051285377591,"(51.967085792581265, 81.30092939254172)",20.0,25,8.670532585028985,{'DCN_6': 20.0},ACN_0,DCN_6,adas,False,4.965906939632813,True,DCN_6,1.0068186120734373
REQ_13_a,3.022692403804972,"(32.86121198620503, 19.117900549222007)",20.0,25,10.761922095683783,{'DCN_14': 20.0},ACN_0,DCN_14,adas,False,4.570385371596257,True,DCN_14,1.0859229256807486
REQ_14_i,3.2318428282884657,"(40.15625757064245, 49.02522976808863)",20.0,30,23.113555492181636,{'DCN_14': 20.0},DCN_7,DCN_14,infotainment,False,3.6313655173667567,True,DCN_14,1.2737268965266486
REQ_15_i,3.3641868659585166,"(25.958267083255564, 51.12529838995556)",17.927777844895797,40,15.932135698255358,{'DCN_6': 17.927777844895797},DCN_2,DCN_6,infotainment,False,3.105168582084132,True,DCN_6,1.3789662835831735
REQ_16_s,3.5297478652208185,"(12.421119722287303, 44.70481917781356)",20.0,15,2.0626112701719306,{'DCN_6': 20.0},ACN_0,DCN_6,safety-critical,False,5.2649198798722665,True,DCN_6,0.9470160240255467
REQ_17_i,3.560567454840414,"(23.587108185721124, 29.452724224248115)",20.0,35,26.00876274620121,{'DCN_6': 20.0},ACN_0,DCN_6,infotainment,False,4.293629347878953,True,DCN_6,1.1412741304242093
REQ_18_i,3.7288665883371523,"(28.119308453126123, 28.016202502593227)",20.0,30,23.611304726558664,{'DCN_6': 20.0},DCN_15,DCN_6,infotainment,False,3.7187013185442823,True,DCN_6,1.2562597362911436
REQ_19_i,4.1518753210455035,"(54.06292453890595, 14.352228630900047)",20.0,30,22.061906855829864,{'DCN_14': 20.0},ACN_0,DCN_14,infotainment,False,5.553411901766818,True,DCN_14,0.8893176196466364
REQ_20_a,4.266272923043401,"(53.54217818486143, 14.885699192470181)",20.0,30,10.548617971236876,{'DCN_14': 20.0},ACN_0,DCN_14,adas,False,5.655047920353665,True,DCN_14,0.868990415929267
REQ_21_i,4.350452936062581,"(44.24030709677408, 94.57639423077708)",19.987498065583946,35,21.647769798132956,{'ACN_0': 19.987498065583946},ACN_0,ACN_0,infotainment,False,5.433577306401844,True,ACN_0,0.9132845387196311
REQ_22_i,4.5095721493870204,"(18.916119269168153, 23.279363645803297)",13.261589686562573,35,14.88657679987673,{'ACN_0': 13.261589686562573},ACN_0,ACN_0,infotainment,False,5.503125724591058,True,ACN_0,0.8993748550817884
REQ_23_a,4.916040517111106,"(25.0260913962764, 28.92511451874183)",20.0,30,9.693119732197768,{'ACN_0': 20.0},ACN_0,ACN_0,adas,False,4.076716524285289,True,ACN_0,1.1846566951429423
REQ_24_a,5.14775999829309,"(36.06956059153251, 74.60224554549406)",20.0,25,10.098395791581803,{'ACN_0': 20.0},DCN_3,ACN_0,adas,False,3.7403051875079236,True,ACN_0,1.2519389624984152
REQ_25_i,5.17279791615885,"(32.79967283279062, 50.19479511626652)",20.0,40,20.809946883893687,{'ACN_0': 20.0},ACN_0,ACN_0,infotainment,False,3.441138527379395,True,ACN_0,1.311772294524121
REQ_26_i,5.379136551770181,"(33.81294505995255, 30.74538753994641)",17.359251879807847,35,18.5198963066906,{'ACN_0': 17.359251879807847},ACN_0,ACN_0,infotainment,False,3.1509465825613017,True,ACN_0,1.3698106834877395
REQ_27_a,5.533886809622676,"(28.35865117424772, 35.039775231596224)",28.837404196016504,30,10.483388420225527,{'DCN_13': 28.837404196016504},ACN_0,DCN_13,adas,False,6.053088645774416,True,DCN_13,0.7893822708451168
REQ_28_i,5.895583384854526,"(29.14367096327293, 33.203321815375055)",20.0,35,22.854319798058857,{'ACN_0': 20.0},ACN_0,ACN_0,infotainment,False,4.287213473836499,True,ACN_0,1.1425573052327
REQ_29_i,6.241741643167012,"(38.64242465509515, 36.52913754929993)",13.694495264943964,40,17.52528184376038,{'ACN_0': 13.694495264943964},DCN_13,ACN_0,infotainment,False,3.450908354176646,True,ACN_0,1.3098183291646708
