model_type,arrival_rate,reward_weights,final_reward,avg_success_rate,avg_cloud_rate,avg_latency,weights_label
GNN+LSTM3,10.0,"(0.3, 0.7, 0.8, 0.2)",-2301.4286154652123,1.0,0.11742491273575158,5.90821243338904,"W=0.3, L=0.7, U=0.8, C=0.2"
GNN+LSTM10,10.0,"(0.3, 0.7, 0.8, 0.2)",-2010.7457971085246,1.0,0.12002817233556633,5.935273613936173,"W=0.3, L=0.7, U=0.8, C=0.2"
GNN,10.0,"(0.3, 0.7, 0.8, 0.2)",-1720.9877033248802,1.0,0.12056267401341599,5.909956589309469,"W=0.3, L=0.7, U=0.8, C=0.2"
GNN+LSTM3,2.0,"(1.0, 0.7, 0.2, 0.1)",24886.584071471312,1.0,0.01147019904504131,4.920323839177137,"W=1.0, L=0.7, U=0.2, C=0.1"
GNN+LSTM10,2.0,"(1.0, 0.7, 0.2, 0.1)",24986.483379968195,1.0,0.013164297699258837,4.935675174962535,"W=1.0, L=0.7, U=0.2, C=0.1"
GNN,2.0,"(1.0, 0.7, 0.2, 0.1)",25133.930065755765,1.0,0.007958638358855252,4.8881211837005765,"W=1.0, L=0.7, U=0.2, C=0.1"
GNN+LSTM3,2.0,"(0.5, 0.8, 0.2, 0.5)",9548.482083425199,1.0,0.010571369181891119,4.880732823089003,"W=0.5, L=0.8, U=0.2, C=0.5"
GNN+LSTM10,2.0,"(0.5, 0.8, 0.2, 0.5)",9625.220728000135,1.0,0.011614194858783592,4.877139103381765,"W=0.5, L=0.8, U=0.2, C=0.5"
GNN,2.0,"(0.5, 0.8, 0.2, 0.5)",9783.070396909294,1.0,0.006839572715146078,4.871887978947392,"W=0.5, L=0.8, U=0.2, C=0.5"
GNN+LSTM3,10.0,"(0.3, 1.5, 0.1, 0.1)",-34537.98569367234,1.0,0.12229151439323542,5.90829987343392,"W=0.3, L=1.5, U=0.1, C=0.1"
GNN+LSTM10,10.0,"(0.3, 1.5, 0.1, 0.1)",-34551.443803279566,1.0,0.12186310615110792,5.898921467015027,"W=0.3, L=1.5, U=0.1, C=0.1"
GNN,10.0,"(0.3, 1.5, 0.1, 0.1)",-32307.040917990456,1.0,0.07366085503588149,5.744491529061139,"W=0.3, L=1.5, U=0.1, C=0.1"
GNN+LSTM3,10.0,"(1.0, 0.7, 0.2, 0.1)",33645.16791895805,1.0,0.08637193319401246,6.0537131960070685,"W=1.0, L=0.7, U=0.2, C=0.1"
GNN+LSTM10,10.0,"(1.0, 0.7, 0.2, 0.1)",33626.62114721295,1.0,0.08932751074919179,6.072825928615382,"W=1.0, L=0.7, U=0.2, C=0.1"
GNN,10.0,"(1.0, 0.7, 0.2, 0.1)",36119.33436067698,1.0,0.0488384518209291,5.86840003719682,"W=1.0, L=0.7, U=0.2, C=0.1"
GNN+LSTM3,10.0,"(0.5, 0.8, 0.2, 0.5)",7534.349260234796,1.0,0.1044723083816999,6.071298518589456,"W=0.5, L=0.8, U=0.2, C=0.5"
GNN+LSTM10,10.0,"(0.5, 0.8, 0.2, 0.5)",7759.858737981209,1.0,0.10848918926757681,6.036829625347013,"W=0.5, L=0.8, U=0.2, C=0.5"
GNN,10.0,"(0.5, 0.8, 0.2, 0.5)",9591.024546935276,1.0,0.06745493926432673,5.912444392194425,"W=0.5, L=0.8, U=0.2, C=0.5"
GNN+LSTM3,2.0,"(0.3, 1.5, 0.1, 0.1)",-14182.054159537603,1.0,0.009131758295388318,4.854638513810568,"W=0.3, L=1.5, U=0.1, C=0.1"
GNN+LSTM10,2.0,"(0.3, 1.5, 0.1, 0.1)",-14122.215818552335,1.0,0.010138161034549825,4.867554460236822,"W=0.3, L=1.5, U=0.1, C=0.1"
GNN,2.0,"(0.3, 1.5, 0.1, 0.1)",-14164.894565141527,1.0,0.00704459002011031,4.860475807739646,"W=0.3, L=1.5, U=0.1, C=0.1"
GNN+LSTM3,10.0,"(0.5, 1.0, 0.3, 0.2)",-3961.4062447066,1.0,0.11427760984493238,5.971373115227573,"W=0.5, L=1.0, U=0.3, C=0.2"
GNN+LSTM10,10.0,"(0.5, 1.0, 0.3, 0.2)",-3509.2970581066083,1.0,0.11959432146715884,5.93090670217385,"W=0.5, L=1.0, U=0.3, C=0.2"
GNN,10.0,"(0.5, 1.0, 0.3, 0.2)",-2865.435845401892,1.0,0.101551727444115,5.910748861719328,"W=0.5, L=1.0, U=0.3, C=0.2"
GNN+LSTM3,2.0,"(0.5, 1.0, 0.3, 0.2)",3167.767909993136,1.0,0.009272037269468989,4.870365613712472,"W=0.5, L=1.0, U=0.3, C=0.2"
GNN+LSTM10,2.0,"(0.5, 1.0, 0.3, 0.2)",3306.1206146313043,1.0,0.009012304668991979,4.859454256405387,"W=0.5, L=1.0, U=0.3, C=0.2"
GNN,2.0,"(0.5, 1.0, 0.3, 0.2)",3364.3549778679735,1.0,0.007035872250091946,4.8507845576297886,"W=0.5, L=1.0, U=0.3, C=0.2"
GNN+LSTM3,2.0,"(0.3, 0.7, 0.8, 0.2)",2547.1526399905283,1.0,0.00930826020297728,4.847066028675127,"W=0.3, L=0.7, U=0.8, C=0.2"
GNN+LSTM10,2.0,"(0.3, 0.7, 0.8, 0.2)",2645.7014490704214,1.0,0.010982562254562931,4.8669148339061055,"W=0.3, L=0.7, U=0.8, C=0.2"
GNN,2.0,"(0.3, 0.7, 0.8, 0.2)",2549.1021273106717,1.0,0.0059564546691881345,4.864551054445206,"W=0.3, L=0.7, U=0.8, C=0.2"
